from,to,vote,relationship,year,weight
Carlos Eduardo Mansur,Vinícius Jr,5,1,2024,NA
Carlos Eduardo Mansur,Jude Bellingham,3,4,2024,NA
Carlos Eduardo Mansur,Rodri,1,4,2024,NA
Danilo Luiz Da Silva,Vinícius Jr,5,1,2024,NA
Danilo Luiz Da Silva,Jude Bellingham,3,4,2024,NA
Danilo Luiz Da Silva,Lamine Yamal,1,4,2024,NA
Dorival Silvestre Júnior,Vinícius Jr,5,1,2024,NA
Dorival Silvestre Júnior,Jude Bellingham,3,4,2024,NA
Dorival Silvestre Júnior,Lamine Yamal,1,4,2024,NA
Carlos Casemiro,Erling Haaland,5,4,2023,NA
Carlos Casemiro,Lionel Messi,3,4,2023,NA
Carlos Casemiro,Kylian Mbappé,1,4,2023,NA
Fernando Diniz,Lionel Messi,5,4,2023,NA
Fernando Diniz,Kevin De Bruyne,3,4,2023,NA
Fernando Diniz,Erling Haaland,1,4,2023,NA
Martín Fernandez,Erling Haaland,5,4,2023,NA
Martín Fernandez,Rodri,3,4,2023,NA
Martín Fernandez,Bernardo Silva,1,4,2023,NA
Bernardo Silva,Vitinha,5,1,2025,NA
Bernardo Silva,Nuno Mendes,3,1,2025,NA
Bernardo Silva,Ousmane Dembélé,1,4,2025,NA
Bernardo Silva,Rodri,5,2,2024,NA
Bernardo Silva,Vinícius Jr,3,4,2024,NA
Bernardo Silva,Erling Haaland,1,4,2024,NA
Roberto Martinez,Nuno Mendes,5,1,2025,NA
Roberto Martinez,Vitinha,3,1,2025,NA
Roberto Martinez,Lamine Yamal,1,4,2025,NA
Roberto Martinez,Marcelo Brozović,5,4,2023,NA
Roberto Martinez,Bernardo Silva,3,1,2023,NA
Roberto Martinez,Lionel Messi,1,4,2023,NA
Roberto Martinez,Dani Carvajal,5,4,2024,NA
Roberto Martinez,Lamine Yamal,3,4,2024,NA
Roberto Martinez,Vinícius Jr,1,4,2024,NA
Vítor Serpa,Ousmane Dembélé,5,4,2025,NA
Vítor Serpa,Pedri,3,4,2025,NA
Vítor Serpa,Nuno Mendes,1,1,2025,NA
Vítor Serpa,Erling Haaland,5,4,2023,NA
Vítor Serpa,Kevin De Bruyne,3,4,2023,NA
Vítor Serpa,Bernardo Silva,1,1,2023,NA
Vítor Serpa,Rodri,5,4,2024,NA
