from,to,vote,relationship,year
Klaus Egelund,Vitinha,1,4,2025
Klaus Egelund,Erling Haaland,5,4,2023
Klaus Egelund,Kevin De Bruyne,3,4,2023
Klaus Egelund,Khvicha Kvaratskhelia,1,4,2023
Klaus Egelund,Rodri,5,4,2024
Klaus Egelund,Toni Kroos,3,4,2024
Klaus Egelund,Vinícius Jr,1,4,2024
Simon Kjär,Lionel Messi,5,4,2023
Simon Kjär,Erling Haaland,3,4,2023
Simon Kjär,Kylian Mbappé,1,4,2023
Kasper Hjulmand,Kevin De Bruyne,5,4,2023
Kasper Hjulmand,Lionel Messi,3,4,2023
Kasper Hjulmand,Erling Haaland,1,4,2023
Heung Min Son,Ousmane Dembélé,5,4,2025
Heung Min Son,Harry Kane,3,4,2025
Heung Min Son,Lamine Yamal,1,4,2025
Heung Min Son,Lionel Messi,5,4,2023
Heung Min Son,Erling Haaland,3,4,2023
Heung Min Son,Kylian Mbappé,1,4,2023
Heung Min Son,Rodri,5,4,2024
Heung Min Son,Vinícius Jr,3,4,2024
Heung Min Son,Dani Carvajal,1,4,2024
Myung Bo Hong,Ousmane Dembélé,5,4,2025
Myung Bo Hong,Lamine Yamal,3,4,2025
Myung Bo Hong,Vitinha,1,4,2025
Myung Bo Hong,Rodri,5,4,2024
Myung Bo Hong,Vinícius Jr,3,4,2024
Myung Bo Hong,Lamine Yamal,1,4,2024
Gun Lee,Ousmane Dembélé,5,4,2025
Gun Lee,Harry Kane,3,4,2025
Gun Lee,Mohamed Salah,1,4,2025
Gun Lee,Kevin De Bruyne,5,4,2023
Gun Lee,Erling Haaland,3,4,2023
Gun Lee,Victor Osimhen,1,4,2023
Gun Lee,Rodri,5,4,2024
Gun Lee,Toni Kroos,3,4,2024
Gun Lee,Jude Bellingham,1,4,2024
Juergen Klinsmann,Erling Haaland,5,4,2023
Juergen Klinsmann,Victor Osimhen,3,4,2023
Juergen Klinsmann,İlkay Gündoğan,1,4,2023
Enner Valencia,Ousmane Dembélé,5,4,2025
Enner Valencia,Kylian Mbappé,3,4,2025
Enner Valencia,Lamine Yamal,1,4,2025
Enner Valencia,Lionel Messi,5,4,2023
Enner Valencia,Kylian Mbappé,3,4,2023
Enner Valencia,Erling Haaland,1,4,2023
Enner Valencia,Vinícius Jr,5,4,2024
Enner Valencia,Toni Kroos,3,4,2024
Enner Valencia,Rodri,1,4,2024
Sebastián Beccacece,Lamine Yamal,5,4,2025
Sebastián Beccacece,Harry Kane,3,4,2025
Sebastián Beccacece,Vitinha,1,4,2025
Sebastián Beccacece,Lionel Messi,5,4,2024
Sebastián Beccacece,Rodri,3,4,2024
Sebastián Beccacece,Lamine Yamal,1,4,2024
Tito Rosales Cox,Ousmane Dembélé,5,4,2025
Tito Rosales Cox,Nuno Mendes,3,4,2025
Tito Rosales Cox,Lamine Yamal,1,4,2025
Tito Rosales Cox,Erling Haaland,5,4,2023
Tito Rosales Cox,Marcelo Brozović,3,4,2023
Tito Rosales Cox,Lionel Messi,1,4,2023
Tito Rosales Cox,Rodri,5,4,2024
Tito Rosales Cox,Vinícius Jr,3,4,2024
Tito Rosales Cox,Dani Carvajal,1,4,2024
Felix Sanchez Bas,Kevin De Bruyne,5,4,2023
Felix Sanchez Bas,Lionel Messi,3,4,2023
Felix Sanchez Bas,Kylian Mbappé,1,4,2023
David Alaba,Kylian Mbappé,5,2,2025
David Alaba,Achraf Hakimi,3,4,2025
David Alaba,Ousmane Dembélé,1,4,2025
David Alaba,Erling Haaland,5,4,2023
David Alaba,Rodri,3,4,2023
David Alaba,Kevin De Bruyne,1,4,2023
David Alaba,Vinícius Jr,5,2,2024
David Alaba,Dani Carvajal,3,2,2024
David Alaba,Jude Bellingham,1,2,2024
Ralf Rangnick,Ousmane Dembélé,5,4,2025
Ralf Rangnick,Harry Kane,3,4,2025
Ralf Rangnick,Kylian Mbappé,1,4,2025
Ralf Rangnick,Erling Haaland,5,4,2023
Ralf Rangnick,İlkay Gündoğan,3,4,2023
Ralf Rangnick,Kevin De Bruyne,1,4,2023
Ralf Rangnick,Rodri,5,4,2024
Ralf Rangnick,Erling Haaland,3,4,2024
Ralf Rangnick,Florian Wirtz,1,4,2024
Stefan Grüneis,Ousmane Dembélé,5,4,2025
Stefan Grüneis,Vitinha,3,4,2025
Stefan Grüneis,Lamine Yamal,1,4,2025
Stefan Grüneis,Rodri,5,4,2024
Stefan Grüneis,Vinícius Jr,3,4,2024
Stefan Grüneis,Erling Haaland,1,4,2024
Lackner Gerhard,Lionel Messi,5,4,2023
Lackner Gerhard,Kylian Mbappé,3,4,2023
Lackner Gerhard,Declan Rice,1,4,2023
Hakan Calhanoglu,Ousmane Dembélé,5,4,2025
Hakan Calhanoglu,Nuno Mendes,3,4,2025
Hakan Calhanoglu,Achraf Hakimi,1,4,2025
Hakan Calhanoglu,Lionel Messi,5,4,2023
Hakan Calhanoglu,Erling Haaland,3,4,2023
Hakan Calhanoglu,Kylian Mbappé,1,4,2023
Hakan Calhanoglu,Toni Kroos,5,4,2024
Hakan Calhanoglu,Lamine Yamal,3,4,2024
Hakan Calhanoglu,Florian Wirtz,1,4,2024
Vincenzo Montella,Pedri,5,4,2025
Vincenzo Montella,Harry Kane,3,4,2025
Vincenzo Montella,Mohamed Salah,1,4,2025
Vincenzo Montella,Lionel Messi,5,4,2023
Vincenzo Montella,Erling Haaland,3,4,2023
Vincenzo Montella,Bernardo Silva,1,4,2023
Vincenzo Montella,Toni Kroos,5,4,2024
Vincenzo Montella,Vinícius Jr,3,4,2024
Vincenzo Montella,Rodri,1,4,2024
Serkan Saydam,Ousmane Dembélé,5,4,2025
Serkan Saydam,Achraf Hakimi,3,4,2025
Serkan Saydam,Lamine Yamal,1,4,2025
Mehmet Arslan,Lionel Messi,5,4,2023
Mehmet Arslan,Erling Haaland,3,4,2023
Mehmet Arslan,İlkay Gündoğan,1,4,2023
Mehmet Arslan,Vinícius Jr,5,4,2024
Mehmet Arslan,Jude Bellingham,3,4,2024
Mehmet Arslan,Erling Haaland,1,4,2024
Mathew Ryan,Harry Kane,5,4,2025
Mathew Ryan,Ousmane Dembélé,3,4,2025
Mathew Ryan,Kylian Mbappé,1,4,2025
Mathew Ryan,Lionel Messi,5,4,2023
Mathew Ryan,Erling Haaland,3,4,2023
Mathew Ryan,Victor Osimhen,1,4,2023
Mathew Ryan,Vinícius Jr,5,4,2024
Mathew Ryan,Rodri,3,4,2024
Mathew Ryan,Jude Bellingham,1,4,2024
Tony Popovic,Ousmane Dembélé,5,4,2025
Tony Popovic,Raphinha,3,4,2025
Tony Popovic,Vitinha,1,4,2025
Tony Popovic,Vinícius Jr,5,4,2024
Tony Popovic,Rodri,3,4,2024
Tony Popovic,Erling Haaland,1,4,2024
Vince Rugari,Harry Kane,5,4,2025
Vince Rugari,Ousmane Dembélé,3,4,2025
Vince Rugari,Lamine Yamal,1,4,2025
Simon Hill,Julián Álvarez,5,4,2023
Simon Hill,Lionel Messi,3,4,2023
Simon Hill,Erling Haaland,1,4,2023
Simon Hill,Rodri,5,4,2024
Simon Hill,Vinícius Jr,3,4,2024
Simon Hill,Dani Carvajal,1,4,2024
Graham Arnold,Ousmane Dembélé,5,4,2025
Graham Arnold,Lamine Yamal,3,4,2025
Graham Arnold,Kylian Mbappé,1,4,2025
Graham Arnold,Erling Haaland,5,4,2023
Graham Arnold,Lionel Messi,3,4,2023
Graham Arnold,Kylian Mbappé,1,4,2023
Alphonso Davies,Harry Kane,5,2,2025
Alphonso Davies,Ousmane Dembélé,3,4,2025
Alphonso Davies,Lamine Yamal,1,4,2025
Alphonso Davies,Vinícius Jr,5,4,2024
Alphonso Davies,Lamine Yamal,3,4,2024
Alphonso Davies,Jude Bellingham,1,4,2024
Jesse Marsch,Raphinha,5,4,2025
Jesse Marsch,Mohamed Salah,3,4,2025
Jesse Marsch,Lamine Yamal,1,4,2025
Jesse Marsch,Erling Haaland,5,4,2024
Jesse Marsch,Rodri,3,4,2024
Jesse Marsch,Vinícius Jr,1,4,2024
Neil Davidson,Ousmane Dembélé,5,4,2025
Neil Davidson,Lamine Yamal,3,4,2025
Neil Davidson,Vitinha,1,4,2025
Neil Davidson,Erling Haaland,5,4,2023
Neil Davidson,Lionel Messi,3,4,2023
Neil Davidson,Kylian Mbappé,1,4,2023
Neil Davidson,Rodri,5,4,2024
Neil Davidson,Vinícius Jr,3,4,2024
Neil Davidson,Jude Bellingham,1,4,2024
Milan Borjan,Lionel Messi,5,4,2023
Milan Borjan,Erling Haaland,3,4,2023
Milan Borjan,Marcelo Brozović,1,4,2023
Mauro Biello,Lionel Messi,5,4,2023
Mauro Biello,Kylian Mbappé,3,4,2023
Mauro Biello,Erling Haaland,1,4,2023
Mykola Matvienko,Kylian Mbappé,5,4,2025
Mykola Matvienko,Ousmane Dembélé,3,4,2025
Mykola Matvienko,Harry Kane,1,4,2025
Mykola Matvienko,Rodri,5,4,2024
Mykola Matvienko,Vinícius Jr,3,4,2024
Mykola Matvienko,Florian Wirtz,1,4,2024
Serhii Rebrov,Kylian Mbappé,5,4,2025
Serhii Rebrov,Ousmane Dembélé,3,4,2025
Serhii Rebrov,Lamine Yamal,1,4,2025
Serhii Rebrov,Kylian Mbappé,5,4,2023
Serhii Rebrov,Lionel Messi,3,4,2023
Serhii Rebrov,Erling Haaland,1,4,2023
Serhii Rebrov,Rodri,5,4,2024
Serhii Rebrov,Jude Bellingham,3,4,2024
Serhii Rebrov,Vinícius Jr,1,4,2024
Valerii Novobranets,Ousmane Dembélé,5,4,2025
Valerii Novobranets,Lamine Yamal,3,4,2025
Valerii Novobranets,Harry Kane,1,4,2025
Valerii Novobranets,Erling Haaland,5,4,2023
Valerii Novobranets,Kevin De Bruyne,3,4,2023
Valerii Novobranets,Rodri,1,4,2023
Valerii Novobranets,Rodri,5,4,2024
Valerii Novobranets,Vinícius Jr,3,4,2024
Valerii Novobranets,Erling Haaland,1,4,2024
Andriy Yarmolenko,Lionel Messi,5,4,2023
Andriy Yarmolenko,Kylian Mbappé,3,4,2023
Andriy Yarmolenko,Kevin De Bruyne,1,4,2023
Martin Odegaard,Ousmane Dembélé,5,4,2025
Martin Odegaard,Vitinha,3,4,2025
Martin Odegaard,Harry Kane,1,4,2025
Martin Odegaard,Erling Haaland,5,1,2023
Martin Odegaard,Lionel Messi,3,4,2023
Martin Odegaard,Kylian Mbappé,1,4,2023
Martin Odegaard,Vinícius Jr,5,4,2024
Martin Odegaard,Rodri,3,4,2024
Martin Odegaard,Erling Haaland,1,1,2024
Ståle Solbakken,Vitinha,5,4,2025
Ståle Solbakken,Pedri,3,4,2025
Ståle Solbakken,Lamine Yamal,1,4,2025
Ståle Solbakken,Erling Haaland,5,1,2023
Ståle Solbakken,Kevin De Bruyne,3,4,2023
Ståle Solbakken,Kylian Mbappé,1,4,2023
Ståle Solbakken,Rodri,5,4,2024
Ståle Solbakken,Erling Haaland,3,1,2024
Ståle Solbakken,Jude Bellingham,1,4,2024
Morten Pedersen,Vitinha,5,4,2025
Morten Pedersen,Lamine Yamal,3,4,2025
Morten Pedersen,Mohamed Salah,1,4,2025
Morten Pedersen,Erling Haaland,5,1,2023
Morten Pedersen,Kevin De Bruyne,3,4,2023
Morten Pedersen,Bernardo Silva,1,4,2023
Morten Pedersen,Rodri,5,4,2024
Morten Pedersen,Vinícius Jr,3,4,2024
Morten Pedersen,Erling Haaland,1,1,2024
Anibal Godoy,Ousmane Dembélé,5,4,2025
Anibal Godoy,Lamine Yamal,3,4,2025
Anibal Godoy,Vitinha,1,4,2025
Anibal Godoy,Lionel Messi,5,4,2023
Anibal Godoy,Kylian Mbappé,3,4,2023
Anibal Godoy,Erling Haaland,1,4,2023
Anibal Godoy,Vinícius Jr,5,4,2024
Anibal Godoy,Rodri,3,4,2024
Anibal Godoy,Dani Carvajal,1,4,2024
Thomas Christiansen,Ousmane Dembélé,5,4,2025
Thomas Christiansen,Pedri,3,4,2025
Thomas Christiansen,Lamine Yamal,1,4,2025
Thomas Christiansen,Lionel Messi,5,4,2023
Thomas Christiansen,Erling Haaland,3,4,2023
Thomas Christiansen,Kylian Mbappé,1,4,2023
Thomas Christiansen,Rodri,5,4,2024
Thomas Christiansen,Vinícius Jr,3,4,2024
Thomas Christiansen,Federico Valverde,1,4,2024
David Samudio Garay,Ousmane Dembélé,5,4,2025
David Samudio Garay,Lamine Yamal,3,4,2025
David Samudio Garay,Kylian Mbappé,1,4,2025
David Samudio Garay,Erling Haaland,5,4,2023
David Samudio Garay,Rodri,3,4,2023
David Samudio Garay,Kevin De Bruyne,1,4,2023
David Samudio Garay,Rodri,5,4,2024
David Samudio Garay,Vinícius Jr,3,4,2024
David Samudio Garay,Jude Bellingham,1,4,2024
Robert Lewandowski,Lamine Yamal,5,2,2025
Robert Lewandowski,Raphinha,3,2,2025
Robert Lewandowski,Pedri,1,2,2025
Robert Lewandowski,Lionel Messi,5,4,2023
Robert Lewandowski,İlkay Gündoğan,3,2,2023
Robert Lewandowski,Erling Haaland,1,4,2023
Robert Lewandowski,Rodri,5,4,2024
Robert Lewandowski,Lamine Yamal,3,4,2024
Robert Lewandowski,Dani Carvajal,1,4,2024
Jan Urban,Harry Kane,5,4,2025
Jan Urban,Lamine Yamal,3,4,2025
Jan Urban,Vitinha,1,4,2025
Michal Pol,Ousmane Dembélé,5,4,2025
Michal Pol,Lamine Yamal,3,4,2025
Michal Pol,Vitinha,1,4,2025
Michal Pol,Erling Haaland,5,4,2023
Michal Pol,Kevin De Bruyne,3,4,2023
Michal Pol,Victor Osimhen,1,4,2023
Michal Pol,Dani Carvajal,5,4,2024
Michal Pol,Vinícius Jr,3,4,2024
Michal Pol,Rodri,1,4,2024
Michał Probierz,Kevin De Bruyne,5,4,2023
Michał Probierz,Lionel Messi,3,4,2023
Michał Probierz,Erling Haaland,1,4,2023
Michał Probierz,Toni Kroos,5,4,2024
Michał Probierz,Rodri,3,4,2024
Michał Probierz,Lamine Yamal,1,4,2024
Aaron Ramsey,Ousmane Dembélé,5,4,2025
Aaron Ramsey,Lamine Yamal,3,4,2025
Aaron Ramsey,Vitinha,1,4,2025
Aaron Ramsey,Lionel Messi,5,4,2023
Aaron Ramsey,Erling Haaland,3,4,2023
Aaron Ramsey,Kevin De Bruyne,1,4,2023
Aaron Ramsey,Vinícius Jr,5,4,2024
Aaron Ramsey,Rodri,3,4,2024
Aaron Ramsey,Jude Bellingham,1,4,2024
Paul Abbandonato,Ousmane Dembélé,5,4,2025
Paul Abbandonato,Lamine Yamal,3,4,2025
Paul Abbandonato,Mohamed Salah,1,4,2025
Paul Abbandonato,Erling Haaland,5,4,2023
Paul Abbandonato,İlkay Gündoğan,3,4,2023
Paul Abbandonato,Victor Osimhen,1,4,2023
Paul Abbandonato,Vinícius Jr,5,4,2024
Paul Abbandonato,Rodri,3,4,2024
Paul Abbandonato,Dani Carvajal,1,4,2024
Craig Bellamy,Rodri,5,4,2024
Craig Bellamy,Vinícius Jr,3,4,2024
Craig Bellamy,Dani Carvajal,1,4,2024
Robert Page,Lionel Messi,5,4,2023
Robert Page,Kylian Mbappé,3,4,2023
Robert Page,Kevin De Bruyne,1,4,2023
Aleksandr Golovin,Kylian Mbappé,5,4,2025
Aleksandr Golovin,Lamine Yamal,3,4,2025
Aleksandr Golovin,Ousmane Dembélé,1,4,2025
Aleksandr Golovin,Toni Kroos,5,4,2024
Aleksandr Golovin,Kylian Mbappé,3,4,2024
Aleksandr Golovin,Vinícius Jr,1,4,2024
Valeri Karpin,Vitinha,5,4,2025
Valeri Karpin,Kylian Mbappé,3,4,2025
Valeri Karpin,Ousmane Dembélé,1,4,2025
Valeri Karpin,Lionel Messi,5,4,2023
Valeri Karpin,Erling Haaland,3,4,2023
Valeri Karpin,Kylian Mbappé,1,4,2023
Oleg Koshelev,Ousmane Dembélé,5,4,2025
Oleg Koshelev,Raphinha,3,4,2025
Oleg Koshelev,Mohamed Salah,1,4,2025
Oleg Koshelev,Kevin De Bruyne,5,4,2023
Oleg Koshelev,Erling Haaland,3,4,2023
Oleg Koshelev,Khvicha Kvaratskhelia,1,4,2023
Oleg Koshelev,Rodri,5,4,2024
Oleg Koshelev,Vinícius Jr,3,4,2024
Oleg Koshelev,Dani Carvajal,1,4,2024
Georgi Dzhikiya,Khvicha Kvaratskhelia,5,4,2023
Georgi Dzhikiya,Lionel Messi,3,4,2023
Georgi Dzhikiya,Kevin De Bruyne,1,4,2023
Emerse Fae,Kylian Mbappé,5,4,2025
Emerse Fae,Ousmane Dembélé,3,4,2025
Emerse Fae,Vitinha,1,4,2025
Emerse Fae,Vinícius Jr,5,4,2024
Emerse Fae,Dani Carvajal,3,4,2024
Emerse Fae,Florian Wirtz,1,4,2024
Malick Traoré,Ousmane Dembélé,5,4,2025
Malick Traoré,Achraf Hakimi,3,4,2025
Malick Traoré,Vitinha,1,4,2025
Magloire Gnae Oulidehi,Kevin De Bruyne,5,4,2023
Magloire Gnae Oulidehi,Erling Haaland,3,4,2023
Magloire Gnae Oulidehi,İlkay Gündoğan,1,4,2023
Magloire Gnae Oulidehi,Vinícius Jr,5,4,2024
Magloire Gnae Oulidehi,Rodri,3,4,2024
Magloire Gnae Oulidehi,Jude Bellingham,1,4,2024
Max Alain Gradel,Erling Haaland,5,4,2023
Max Alain Gradel,Lionel Messi,3,4,2023
Max Alain Gradel,Victor Osimhen,1,4,2023
Jean Louis Gasset,Kylian Mbappé,5,4,2023
Jean Louis Gasset,Lionel Messi,3,4,2023
Jean Louis Gasset,Erling Haaland,1,4,2023
Franck Kessié,Vinícius Jr,5,4,2024
Franck Kessié,Dani Carvajal,3,4,2024
Franck Kessié,Rodri,1,4,2024
Andrew Robertson,Mohamed Salah,5,2,2025
Andrew Robertson,Ousmane Dembélé,3,4,2025
Andrew Robertson,Nuno Mendes,1,4,2025
Andrew Robertson,Lionel Messi,5,4,2023
Andrew Robertson,Erling Haaland,3,4,2023
Andrew Robertson,Kylian Mbappé,1,4,2023
Steve Clarke,Ousmane Dembélé,5,4,2025
Steve Clarke,Vitinha,3,4,2025
Steve Clarke,Mohamed Salah,1,4,2025
Steve Clarke,Lionel Messi,5,4,2023
Steve Clarke,Kylian Mbappé,3,4,2023
Steve Clarke,Erling Haaland,1,4,2023
Steve Clarke,Rodri,5,4,2024
Steve Clarke,Lamine Yamal,3,4,2024
Steve Clarke,Dani Carvajal,1,4,2024
Scott Mcdermott,Vitinha,5,4,2025
Scott Mcdermott,Ousmane Dembélé,3,4,2025
Scott Mcdermott,Harry Kane,1,4,2025
Scott Mcdermott,Rodri,5,4,2023
Scott Mcdermott,Erling Haaland,3,4,2023
Scott Mcdermott,İlkay Gündoğan,1,4,2023
Scott Mcdermott,Rodri,5,4,2024
Scott Mcdermott,Vinícius Jr,3,4,2024
Scott Mcdermott,Dani Carvajal,1,4,2024
Aleksandar Mitrovic,Ousmane Dembélé,5,4,2025
Aleksandar Mitrovic,Kylian Mbappé,3,4,2025
Aleksandar Mitrovic,Vitinha,1,4,2025
Aleksandar Mitrovic,Vinícius Jr,5,4,2024
Aleksandar Mitrovic,Erling Haaland,3,4,2024
Aleksandar Mitrovic,Rodri,1,4,2024
Veljko Paunovic,Kylian Mbappé,5,4,2025
Veljko Paunovic,Pedri,3,4,2025
Veljko Paunovic,Nuno Mendes,1,4,2025
Milan Rasevic,Ousmane Dembélé,5,4,2025
Milan Rasevic,Mohamed Salah,3,4,2025
Milan Rasevic,Kylian Mbappé,1,4,2025
Milan Rasevic,Erling Haaland,5,4,2023
Milan Rasevic,Kevin De Bruyne,3,4,2023
Milan Rasevic,Kylian Mbappé,1,4,2023
Milan Rasevic,Rodri,5,4,2024
Milan Rasevic,Dani Carvajal,3,4,2024
Milan Rasevic,Vinícius Jr,1,4,2024
Dragan Stojkovic,Erling Haaland,5,4,2023
Dragan Stojkovic,Kylian Mbappé,3,4,2023
Dragan Stojkovic,Rodri,1,4,2023
Dragan Stojkovic,Rodri,5,4,2024
Dragan Stojkovic,Vinícius Jr,3,4,2024
Dragan Stojkovic,Erling Haaland,1,4,2024
Dusan Tadic,Kevin De Bruyne,5,4,2023
Dusan Tadic,Lionel Messi,3,4,2023
Dusan Tadic,Kylian Mbappé,1,4,2023
Gustavo Gomez,Ousmane Dembélé,5,4,2025
Gustavo Gomez,Lamine Yamal,3,4,2025
Gustavo Gomez,Kylian Mbappé,1,4,2025
Gustavo Gomez,Lionel Messi,5,4,2023
Gustavo Gomez,Erling Haaland,3,4,2023
Gustavo Gomez,Kylian Mbappé,1,4,2023
Gustavo Gomez,Vinícius Jr,5,4,2024
Gustavo Gomez,Rodri,3,4,2024
Gustavo Gomez,Erling Haaland,1,4,2024
Gustavo Alfaro,Ousmane Dembélé,5,4,2025
Gustavo Alfaro,Vitinha,3,4,2025
Gustavo Alfaro,Pedri,1,4,2025
Gustavo Alfaro,Toni Kroos,5,4,2024
Gustavo Alfaro,Lionel Messi,3,4,2024
Gustavo Alfaro,Jude Bellingham,1,4,2024
Edgar Cantero,Ousmane Dembélé,5,4,2025
Edgar Cantero,Lamine Yamal,3,4,2025
Edgar Cantero,Vitinha,1,4,2025
Edgar Cantero,Bernardo Silva,5,4,2023
Edgar Cantero,Kevin De Bruyne,3,4,2023
Edgar Cantero,Erling Haaland,1,4,2023
Edgar Cantero,Vinícius Jr,5,4,2024
Edgar Cantero,Rodri,3,4,2024
Edgar Cantero,Toni Kroos,1,4,2024
Daniel Garnero,Lionel Messi,5,4,2023
Daniel Garnero,Julián Álvarez,3,4,2023
Daniel Garnero,Kevin De Bruyne,1,4,2023
Dominik Szoboszlai,Mohamed Salah,5,2,2025
Dominik Szoboszlai,Ousmane Dembélé,3,4,2025
Dominik Szoboszlai,Kylian Mbappé,1,4,2025
Dominik Szoboszlai,Erling Haaland,5,4,2023
Dominik Szoboszlai,Lionel Messi,3,4,2023
Dominik Szoboszlai,Kylian Mbappé,1,4,2023
Marco Rossi,Lamine Yamal,5,4,2025
Marco Rossi,Ousmane Dembélé,3,4,2025
Marco Rossi,Vitinha,1,4,2025
Marco Rossi,Erling Haaland,5,4,2023
Marco Rossi,Lionel Messi,3,4,2023
Marco Rossi,Kylian Mbappé,1,4,2023
Marco Rossi,Vinícius Jr,5,4,2024
Marco Rossi,Rodri,3,4,2024
Marco Rossi,Florian Wirtz,1,4,2024
György Szöllösi,Ousmane Dembélé,5,4,2025
György Szöllösi,Lamine Yamal,3,4,2025
György Szöllösi,Kylian Mbappé,1,4,2025
György Szöllösi,Erling Haaland,5,4,2023
György Szöllösi,Kevin De Bruyne,3,4,2023
György Szöllösi,Khvicha Kvaratskhelia,1,4,2023
György Szöllösi,Dani Carvajal,5,4,2024
György Szöllösi,Rodri,3,4,2024
György Szöllösi,Vinícius Jr,1,4,2024
Victor Lindelof,Ousmane Dembélé,5,4,2025
Victor Lindelof,Raphinha,3,4,2025
Victor Lindelof,Vitinha,1,4,2025
Victor Lindelof,Erling Haaland,5,4,2023
Victor Lindelof,Lionel Messi,3,4,2023
Victor Lindelof,Bernardo Silva,1,4,2023
Victor Lindelof,Rodri,5,4,2024
Victor Lindelof,Vinícius Jr,3,4,2024
Victor Lindelof,Erling Haaland,1,4,2024
Graham Potter,Ousmane Dembélé,5,4,2025
Graham Potter,Nuno Mendes,3,4,2025
Graham Potter,Pedri,1,4,2025
Simon Bank,Ousmane Dembélé,5,4,2025
Simon Bank,Lamine Yamal,3,4,2025
Simon Bank,Pedri,1,4,2025
Simon Bank,Lionel Messi,5,4,2023
Simon Bank,Erling Haaland,3,4,2023
Simon Bank,Kylian Mbappé,1,4,2023
Simon Bank,Rodri,5,4,2024
Simon Bank,Vinícius Jr,3,4,2024
Simon Bank,Dani Carvajal,1,4,2024
Jon Dahl Tomasson,Rodri,5,4,2024
Jon Dahl Tomasson,Vinícius Jr,3,4,2024
Jon Dahl Tomasson,Lamine Yamal,1,4,2024
Jan Andersson,Rodri,5,4,2023
Jan Andersson,Kylian Mbappé,3,4,2023
Jan Andersson,Lionel Messi,1,4,2023
Tomas Soucek,Ousmane Dembélé,5,4,2025
Tomas Soucek,Lamine Yamal,3,4,2025
Tomas Soucek,Vitinha,1,4,2025
Tomas Soucek,Erling Haaland,5,4,2023
Tomas Soucek,Lionel Messi,3,4,2023
Tomas Soucek,Kylian Mbappé,1,4,2023
Tomas Soucek,Rodri,5,4,2024
Tomas Soucek,Jude Bellingham,3,4,2024
Tomas Soucek,Dani Carvajal,1,4,2024
Jaroslav Köstl,Lamine Yamal,5,4,2025
Jaroslav Köstl,Ousmane Dembélé,3,4,2025
Jaroslav Köstl,Vitinha,1,4,2025
Jan Palička,Lamine Yamal,5,4,2025
Jan Palička,Ousmane Dembélé,3,4,2025
Jan Palička,Mohamed Salah,1,4,2025
Jan Palička,Erling Haaland,5,4,2023
Jan Palička,Lionel Messi,3,4,2023
Jan Palička,Kevin De Bruyne,1,4,2023
Jan Palička,Rodri,5,4,2024
Jan Palička,Jude Bellingham,3,4,2024
Jan Palička,Florian Wirtz,1,4,2024
Ivan Hasek,Rodri,5,4,2024
Ivan Hasek,Lamine Yamal,3,4,2024
Ivan Hasek,Vinícius Jr,1,4,2024
Jaroslav Silhavy,Erling Haaland,5,4,2023
Jaroslav Silhavy,Kevin De Bruyne,3,4,2023
Jaroslav Silhavy,Kylian Mbappé,1,4,2023
Milan Škriniar,Ousmane Dembélé,5,4,2025
Milan Škriniar,Kylian Mbappé,3,4,2025
Milan Škriniar,Vitinha,1,4,2025
Milan Škriniar,Lionel Messi,5,4,2023
Milan Škriniar,Kylian Mbappé,3,4,2023
Milan Škriniar,Erling Haaland,1,4,2023
Milan Škriniar,Kylian Mbappé,5,4,2024
Milan Škriniar,Rodri,3,4,2024
Milan Škriniar,Vinícius Jr,1,4,2024
Francesco Calzona,Vitinha,5,4,2025
Francesco Calzona,Pedri,3,4,2025
Francesco Calzona,Ousmane Dembélé,1,4,2025
Francesco Calzona,Erling Haaland,5,4,2023
Francesco Calzona,Kevin De Bruyne,3,4,2023
Francesco Calzona,Bernardo Silva,1,4,2023
Francesco Calzona,Vinícius Jr,5,4,2024
Francesco Calzona,Rodri,3,4,2024
Francesco Calzona,Erling Haaland,1,4,2024
Michal Zeman,Ousmane Dembélé,5,4,2025
Michal Zeman,Nuno Mendes,3,4,2025
Michal Zeman,Harry Kane,1,4,2025
Michal Zeman,Kylian Mbappé,5,4,2023
Michal Zeman,Erling Haaland,3,4,2023
Michal Zeman,Lionel Messi,1,4,2023
Michal Zeman,Vinícius Jr,5,4,2024
Michal Zeman,Rodri,3,4,2024
Michal Zeman,Toni Kroos,1,4,2024
Martin Felix Ndtoungou Mpile,Lamine Yamal,5,4,2025
Martin Felix Ndtoungou Mpile,Ousmane Dembélé,3,4,2025
Martin Felix Ndtoungou Mpile,Harry Kane,1,4,2025
Martin Felix Ndtoungou Mpile,Vinícius Jr,5,4,2024
Martin Felix Ndtoungou Mpile,Erling Haaland,3,4,2024
Martin Felix Ndtoungou Mpile,Jude Bellingham,1,4,2024
Angu Lesley Ngwa Akonwi,Ousmane Dembélé,5,4,2025
Angu Lesley Ngwa Akonwi,Achraf Hakimi,3,4,2025
Angu Lesley Ngwa Akonwi,Kylian Mbappé,1,4,2025
Angu Lesley Ngwa Akonwi,Rodri,5,4,2024
Angu Lesley Ngwa Akonwi,Erling Haaland,3,4,2024
Angu Lesley Ngwa Akonwi,Vinícius Jr,1,4,2024
Vincent Aboubakar,Erling Haaland,5,4,2023
Vincent Aboubakar,Kylian Mbappé,3,4,2023
Vincent Aboubakar,Lionel Messi,1,4,2023
Vincent Aboubakar,Vinícius Jr,5,4,2024
Vincent Aboubakar,Dani Carvajal,3,4,2024
Vincent Aboubakar,Kylian Mbappé,1,4,2024
