id;name;role;country;club
551;Gamadiid Guurre;3;Somalia;NA
552;Robert Marawa;3;South Africa;NA
553;Albino Kuek Deng Kuach;3;South Sudan;NA
554;Juan Ignacio Gallardo;3;Spain;NA
555;Neville Victor Anthony;3;Sri Lanka;NA
556;Terry Finisterre;3;St Lucia;NA
557;Tahir Salih;3;Sudan;NA
558;Desney Romeo;3;Suriname;NA
559;Simon Bank;3;Sweden;NA
560;Tobias Wedermann;3;Switzerland;NA
561;Mohamad Nadim Aljabi;3;Syria;NA
562;Olivier Huc;3;Tahiti;NA
563;Faridun Saliev;3;Tajikistan;NA
564;Evance Joseph Mhando;3;Tanzania;NA
565;Kim Junumporn;3;Thailand;NA
566;Kodjo Sedem Gounoubou;3;Togo;NA
567;Justin Akauola;3;Tonga;NA
568;Ian Prescott;3;Trinidad and Tobago;NA
569;Tarek Ghdiri;3;Tunisia;NA
570;Serkan Saydam;3;Türkiye;NA
571;Alexander Vershinin;3;Turkmenistan;NA
572;Mayamba Stephen;3;Uganda;NA
573;Valerii Novobranets;3;Ukraine;NA
574;Omran Mohamed;3;United Arab Emirates;NA
575;Rómulo Martínez Chenlo;3;Uruguay;NA
576;Amara Gilbert;3;US Virgin Islands;NA
577;Douglas Mcintyre;3;USA;NA
578;Davron Fayziev;3;Uzbekistan;NA
579;Humberto Perozo Suárez;3;Venezuela;NA
580;Minh Viet Nguyen;3;Vietnam;NA
581;Paul Abbandonato;3;Wales;NA
582;Basheer Senan;3;Yemen;NA
583;Elias Chipepo;3;Zambia;NA
584;Sikhumbuzo Moyo;3;Zimbabwe;NA
585;Ousmane Dembélé;4;France;Paris Saint-Germain
586;Kylian Mbappé;4;France;Real Madrid
587;Lamine Yamal;4;Spain;FC Barcelona
588;Vitinha;4;Portugal;Paris Saint-Germain
589;Pedri;4;Spain;FC Barcelona
590;Raphinha;4;Brazil;FC Barcelona
591;Cole Palmer;4;England;FC Chelsea
592;Nuno Mendes;4;Portugal;Paris Saint-Germain
593;Achraf Hakimi;5;Morocco;Paris Saint-Germain
594;Harry Kane;5;England ;FC Bayern München
595;Mohamed Salah;5;Egypt;FC Liverpool
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
