id;name;role;country;club
111;Matthew Guillaumier;1;Malta;Stal Mielec
112;Aly Abeid;1;Mauritania;CFR Cluj
113;Lindsay Rose;1;Mauritius;Aris Saloniki
114;Edson Omar Alvarez Velazquez;1;Mexico;West Ham United
115;Rata Vadim;1;Moldova;FC Universitatea Cluj
116;Tsendayush Khurelbaatar;1;Mongolia;Brera Ilch FC
117;Stevan Jovetic;1;Montenegro;Omonia Nikosia
118;Brandon Comley;1;Montserrat;Walsall
119;Achraf Hakimi;1;Morocco;Paris Saint-Germain
120;Elias Pelembe;1;Mozambique;UD Songo
121;Mg Mg Lwin;1;Myanmar;Lamphun Warriors
122;Riaan Hanamub;1;Namibia;AmaZulu FC
123;Kiran Chemjong;1;Nepal;Punjab FC
124;Virgil Van Dijk;1;Netherlands;FC Liverpool
125;Morgan Mathelon;1;New Caledonia;AS Tiga Sports
126;Chris Wood;1;New Zealand;Nottingham Forest
127;Juan Barrera;1;Nicaragua;Managua FC
128;Youssouf Oumarou Aliou;1;Niger;Al-Karma
129;William Ekong;1;Nigeria;Al-Kholood Club
130;Enis Bardhi;1;North Macedonia;Bodrum FK
131;Conor Bradley;1;Northern Ireland;FC Liverpool
132;Martin Odegaard;1;Norway;FC Arsenal
133;Fayiz Alrushaidi;1;Oman;Al-Nahda Club
134;Abdullah Iqbal;1;Pakistan;Mjällby AIF
135;Musab Battat;1;Palestine;Al-Wakrah SC
136;Aníbal Godoy;1;Panama;San Diego FC
137;Raymond Gunemba;1;Papua New Guinea;Lae City FC
138;Gustavo Gomez;1;Paraguay;Sociedade Esportiva Palmeiras
139;Pedro Gallese;1;Peru;Orlando City SC
140;Amani Aguinaldo;1;Philippines;Rayong FC
141;Robert Lewandowski;1;Poland;FC Barcelona
142;Bernardo Silva;1;Portugal;Manchester City
143;Leandro Antonetti;1;Puerto Rico;Sevilla Atlético
144;Hassan Alhaydos;1;Qatar;Al-Sadd SC
145;Nathan Collins;1;Republic of Ireland;FC Brentford
146;Ianis Hagi;1;Romania;Glasgow Rangers
147;Aleksandr Golovin;1;Russia;AS Monaco
148;Bizimana Djihad;1;Rwanda;Al-Ahli SC
149;Andrew Setefano;1;Samoa;Lupe Ole Soaga
150;Matteo Vitaioli;1;San Marino;La Fiorita
151;Joel Neves;1;São Tomé and Príncipe;Oriental
152;Salem Aldawsari;1;Saudi Arabia;Al-Hilal SFC
153;Andrew Robertson;1;Scotland;FC Liverpool
154;Kalidou Koulibaly;1;Senegal;Al-Hilal SFC
155;Aleksandar Mitrovic;1;Serbia;Al-Hilal SFC
156;Elie Nelson Jr Sopha;1;Seychelles;St. Michel United
157;Mustapha Bundu;1;Sierra Leone;Plymouth Argyle
158;Hariss Harun;1;Singapore;Lion City Sailors
159;Milan Škriniar;1;Slovakia;Fenerbahce
160;Jan Oblak;1;Slovenia;Atlético Madrid
161;Javin Alick;1;Solomon Islands;Solomon Kings
162;Abdulsamed Abdullahi;1;Somalia;FK Novi Pazar
163;Ronwen Williams;1;South Africa;Mamelodi Sundowns FC
164;Atir Thomas Tom Magor;1;South Sudan;Hay Al-Wadi FC
165;Unai Simon Mendibil;1;Spain;Athletic Bilbao
166;Sujan Perera;1;Sri Lanka;TC Sports Club
167;Julani Archibald;1;St Kitts and Nevis;CD Victoria La Ceiba
168;Oalex Anderson;1;St Vincent and the Grenadines;North Carolina FC
