id,role,nationality,club_2025,club_2024,club_2023
Issiagia Sylla,1,Guinea,Asteras Tripolis Aktor,Montpellier HSC,Montpellier HSC
Jorge Nogueira,1,Guinea-Bissau,CD Costa do Sol,NA,Mes Kerman
Antony Lozano,1,Honduras,Santos Laguna,Santos Laguna,Getafe CF
Hung Fai Yapp,1,Hong Kong China,Eastern SC,Eastern SC,Eastern SC
Dominik Szoboszlai,1,Hungary,FC Liverpool,FC Liverpool,FC Liverpool
Orri Óskarsson,1,Iceland,Real Sociedad San Sebastián,NA,FC Kopenhagen
Gurpreet Singh Sandhu,1,India,Bengaluru FC,NA,Bengaluru FC
Jay Idzes,1,Indonesia,US Sassuolo,Venezia FC,Venezia FC
Alireza Jahanbakhsh,1,IR Iran,FCV Dender EH,SC Heerenveen,Feyernoord Rotterdam
Jalal Hassan ,1,Iraq,Al-Zawraa SC,Al-Zawraa SC,Al-Zawraa SC
Eliezer Dasa,1,Israel,NEC Nijmegen,Dynamo Moscow,Dynamo Moscow
Gianluigi Donnarumma,1,Italy,Manchester City,Paris Saint-Germain,Paris Saint-Germain
Wataru Endo,1,Japan,FC Liverpool,FC Liverpool,FC Liverpool
Ehsan Haddad,1,Jordan,Al-Hussein SC (Irbid),Al-Faisaly SC,Al-Faisaly SC
Nuraly Alip,1,Kazakhstan,Zenit St. Petersburg,NA,Zenit St. Petersburg
Michael Olunga Ogada,1,Kenya,Al-Arabi SC,Al-Duhail SC,Al-Duhail SC
Jang Kuk Chol,1,Korea DPR,Hwaebul SC,Hwaebul SC,Hwaebul SC
Heung Min Son,1,Korea Republic,LAFC,Tottenham Hotspur,Tottenham Hotspur
Amir Rrahmani,1,Kosovo,SSC Neapel,SSC Neapel,SSC Neapel
Khaled Al Rashidi,1,Kuwait,Kuwait SC,Qadsia SC,Qadsia SC
Kichin Valerii,1,Kyrgyz Republic,Bars,Locomotiv Tashkent,Enisey Krasnoyarsk
Bounphachan Bounkong,1,Laos,Svay Rieng,Svay Rieng,Svay Rieng
Kristers Tobers,1,Latvia,Aberdeen FC,Grashopper Club Zürich,Grashopper Club Zürich
Mohamad Haidar,1,Lebanon,Al-Ahed,Al-Ahed,Al-Ahed
Sekhoane Benedict Moerane,1,Lesotho,Orbit College,Orbit College,NA
Murad Al-Wuheeshi,1,Libya,Al-Ahly SC,Al-Ahly SC,Al-Ahly SC
Nicolas Hasler,1,Liechtenstein,FC Vaduz,FC Vaduz,FC Vaduz
Fedor Cernych,1,Lithuania,FK Kauno Žalgiris,FK Kauno Zalgiris,AEL Limassol
Laurent Jans,1,Luxembourg,SK Beveren,SK Beveren,SV Waldhof Mannheim
Chan Man,1,Macau,Benfica Macau,Benfica Macau,Benfica Macau
Rayan Raveloson,1,Madagascar,BSC Young Boys,NA,AJ Auxerre
Richard Mbulu,1,Malawi,UD Songo,NA,Al-Najaf FC
Matthew Davies,1,Malaysia,Johor DT,NA,Johor DT
Ali Samooh,1,Maldives,Maziya S&RC,Maziya S&RC,Maziya S&RC
Yves Bissouma,1,Mali,Tottenham Hotspur,Tottenham Hotspur,Tottenham Hotspur
Matthew Guillaumier,1,Malta,Stal Mielec,NA,Stal Mielec
Aly Abeid,1,Mauritania,CFR Cluj,NA,UTA Arad
Lindsay Rose,1,Mauritius,Aris Saloniki,Aris Saloniki,Legia Warschau
Edson Omar Alvarez Velazquez,1,Mexico,Fenerbahce,West Ham United,West Ham United
Rata Vadim,1,Moldova,FC Universitatea Cluj,FC Universitatea Cluj,FC Voluntari
Tsendayush Khurelbaatar,1,Mongolia,Brera Ilch FC,Brera Ilch FC,Central Stallions
Stevan Jovetic,1,Montenegro,Omonia Nikosia,Omonia Nikosia,Olympiacos Piräus
Brandon Comley,1,Montserrat,FC Walsall,NA,FC Walsall
Achraf Hakimi,1,Morocco,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain
Elias Pelembe,1,Mozambique,UD Songo,UD Songo,Royal AM FC
Lwin Maung Maung,1,Myanmar,Lamphun Warriors,Lamphun Warriors,Lamphun Warriors
Riaan Hanamub,1,Namibia,AmaZulu FC,AmaZulu FC,AmaZulu FC
Kiran Limbu Chemjong,1,Nepal,Bangladesh Police FC,Punjab FC,Punjab FC
Virgil Van Dijk,1,Netherlands,FC Liverpool,FC Liverpool,FC Liverpool
Morgan Mathelon,1,New Caledonia,AS Tiga Sports,AS Tiga Sports,AS Tiga Sports
Chris Wood,1,New Zealand,Nottingham Forest,Nottingham Forest,Nottingham Forest
Juan Barrera,1,Nicaragua,Managua FC,Managua FC,Deportivo Guastatoya
Youssouf Oumarou,1,Niger,Al-Karma,Stade Tunisien,Esperance Tunis
William Ekong,1,Nigeria,Al-Kholood Club,Al-Kholood Club,PAOK Thessaloniki
Enis Bardhi,1,North Macedonia,Bodrum FK,Trabzonspor,Trabzonspor
Conor Bradley,1,Northern Ireland,FC Liverpool,NA,FC Liverpool
Martin Odegaard,1,Norway,FC Arsenal,FC Arsenal,FC Arsenal
Fayiz Alrushaidi,1,Oman,Al-Nahda Club,NA,Mes Rafsanjan
Abdullah Iqbal,1,Pakistan,Mjällby AIF,Mjällby AIF,Boldklubben af 1893
Musab Battat,1,Palestine,Qatar SC,Al-Faisaly SC,Shabab Al-Dhahirya SC
Anibal Godoy,1,Panama,San Diego FC,Nashville SC,Nashville SC
Raymond Gunemba,1,Papua New Guinea,Lae City FC,Lae City FC,Lautoka FC
Gustavo Gomez,1,Paraguay,Sociedade Esportiva Palmeiras,Sociedade Esportiva Palmeiras,Sociedade Esportiva Palmeiras
Pedro Gallese,1,Peru,Orlando City SC,NA,Orlando City SC
Amani Aguinaldo,1,Philippines,Brunei DPMM FC,Rayong FC,Trat FC
Robert Lewandowski,1,Poland,FC Barcelona,FC Barcelona,FC Barcelona
Bernardo Silva,1,Portugal,Manchester City,Manchester City,Manchester City
Leandro Antonetti,1,Puerto Rico,CF Estrela Amadora,Sevilla Atlético,CD Lugo
Hassan Alhaydos,1,Qatar,Al-Sadd SC,NA,Al-Sadd SC
Nathan Collins,1,Republic of Ireland,FC Brentford,NA,FC Brentford
Ianis Hagi,1,Romania,Alanyaspor,NA,Deportivo Alaves
Aleksandr Golovin,1,Russia,AS Monaco,AS Monaco,AS Monaco
Djihad Bizimana ,1,Rwanda,Al-Ahli SC,Kryvbas Kryvyi,Kryvbas Kryvyi
Andrew Setefano,1,Samoa,Lupe Ole Soaga,Lupe Ole Soaga,Lupe Ole Soaga
Matteo Vitaioli,1,San Marino,La Fiorita,La Fiorita,La Fiorita
Joel Neves,1,São Tomé and Príncipe,Oriental,NA,NA
Salem Aldawsari,1,Saudi Arabia,Al-Hilal SFC,Al-Hilal SFC,Al-Hilal SFC
Andrew Robertson,1,Scotland,FC Liverpool,FC Liverpool,FC Liverpool
Kalidou Koulibaly,1,Senegal,Al-Hilal SFC,Al-Hilal SFC,Al-Hilal SFC
Aleksandar Mitrovic,1,Serbia,Al-Rayyan SC,Al-Hilal SFC,FC Fulham
Elie Nelson Jr Sopha,1,Seychelles,St. Michel United,NA,NA
Mustapha Bundu,1,Sierra Leone,Hannover 96,Plymouth Argyle,Plymouth Argyle
Hariss Harun,1,Singapore,Lion City Sailors,Lion City Sailors,Lion City Sailors
Milan Škriniar,1,Slovakia,Fenerbahce,Paris Saint-Germain,Paris Saint-Germain
Jan Oblak,1,Slovenia,Atlético Madrid,Atlético Madrid,Atlético Madrid
Javin Alick,1,Solomon Islands,Solomon Kings,Solomon Kings,Solomon Kings
Abdulsamed Abdullahi,1,Somalia,FK Novi Pazar,Arsenal Tivat,GS Ergotelis
Ronwen Williams,1,South Africa,Mamelodi Sundowns FC,Mamelodi Sundowns FC,Mamelodi Sundowns FC
Atir Thomas Tom Magor,1,South Sudan,Hay Al-Wadi FC,NA,NA
Unai Simon Mendibil,1,Spain,Athletic Bilbao,NA,Athletic Bilbao
Sujan Perera,1,Sri Lanka,Fortis FC,TC Sports Club,TC Sports Club
Julani Archibald,1,St Kitts and Nevis,vereinslos,CD Victoria La Ceiba,CD Victoria La Ceiba
Oalex Anderson,1,St Vincent and the Grenadines,North Carolina FC,North Carolina FC,North Carolina FC
Dion Malone,1,Suriname,SC Telstar,Karmiotissa Pano Polemidion,Karmiotissa Pano Polemidion
Victor Lindelof,1,Sweden,Aston Villa,Manchester United,Manchester United
Granit Xhaka,1,Switzerland,AFC Sunderland,Bayer 04 Leverkusen,Bayer 04 Leverkusen
Omar Khrbin,1,Syria,Al-Wahda FC,Al-Wahda FC,Al-Wahda FC
Teaonui Tehau,1,Tahiti,AS Vénus Mahina,AS Vénus Mahina,AS Vénus Mahina
Akhtam Nazarov,1,Tajikistan,Istiklol Dushanbe,Istiklol Dushanbe,Istiklol Dushanbe
Mbwana Ally Samatta,1,Tanzania,Le Havre HC,PAOK Thessaloniki,PAOK Thessaloniki
Chanathip Songkrasin,1,Thailand,BG Pathum United,BG Pathum United,Kawasaki Frontale
Gali Freitas,1,Timor-Leste,Persebaya Surabaya,PSIS Semarang,PSIS Semarang
Dakonam Ortega Djene,1,Togo,FC Getafe,FC Getafe,FC Getafe
Hemaloto Polovili,1,Tonga,Veitongo FC,Veitongo FC,NA
Kevin Molino,1,Trinidad and Tobago,Defence Force,NA,Columbus Crew
Ferjani Sassi,1,Tunisia,Al-Gharafa SC,NA,Al-Gharafa SC
Hakan Calhanoglu,1,Türkiye,Inter Mailand,Inter Mailand,Inter Mailand
Elman Tagayev,1,Turkmenistan,Ahal FK,NA,Ahal FK
Makenson Cadet,1,Turks and Caicos Islands,SWA Sharks,NA,Hardin-Simmons
Aucho Khalid,1,Uganda,Young Africans SC,Young Africans SC,Masr El Makasa
Mykola Matvienko,1,Ukraine,Shakhtar Donetsk,Shakhtar Donetsk,Shakhtar Donetsk
Ali Khaseif,1,United Arab Emirates,Al-Jazira Club,Al-Jazira Club,Al-Jazira Club
Jose Gimenez,1,Uruguay,Atlético Madrid,Atlético Madrid,Atlético Madrid
Joshua Ramos,1,US Virgin Islands,Chattanooga Red Wolfes SC,NA,NA
Tim Ream,1,USA,Charlotte FC,FC Fulham,FC Fulham
Eldor Shomurodov,1,Uzbekistan,Basaksehri FC,AS Rom,Cagliari Calcio
Michel Kalmalap Coulon,1,Vanuatu,Vanuatu United FC,NA,NA
Salomón Rondón,1,Venezuela,CF Pachuca,NA,CA River Plate
Manh Do,1,Vietnam,Ha Noi FC,Ha Noi FC,Ha Noi FC
Aaron Ramsey,1,Wales,UNAM Pumas,Cardiff City,Cardiff City
Harwan Alzubaidi,1,Yemen,Erbil SC,NA,Al-Hala SC
Lubambo Musonda,1,Zambia,1. FC Magdeburg,1. FC Magdeburg,AC Horsens
Elias Ahmad Manouchehr,2,Afghanistan,NA,NA,NA
Sylvio Mendes Campos,2,Albania,NA,NA,NA
Vladimir Petkovic,2,Algeria,NA,NA,NA
Travis Sinapati,2,American Samoa,NA,NA,NA
Koldo Alvarez De Eulate,2,Andorra,NA,NA,NA
Patrice Alain Marie Beaumelle,2,Angola,NA,NA,NA
Cleo Hamm,2,Anguilla,NA,NA,NA
Lionel Scaloni,2,Argentina,NA,NA,NA
Melikian Iegishe,2,Armenia,NA,NA,NA
Marvic Bermudez,2,Aruba,NA,NA,NA
Tony Popovic,2,Australia,NA,NA,NA
Ralf Rangnick,2,Austria,NA,NA,NA
Aykhan Abbasov,2,Azerbaijan,NA,NA,NA
Dragan Talajic,2,Bahrain,NA,NA,NA
Javier Cabrera,2,Bangladesh,NA,NA,NA
Kent Edward Hall,2,Barbados,NA,NA,NA
Carlos Alos Ferrer,2,Belarus,NA,NA,NA
Rudi Garcia,2,Belgium,NA,NA,NA
Philip Elexious Marin,2,Belize,NA,NA,NA
Gernot Rohr,2,Benin,NA,NA,NA
Michael Findlay,2,Bermuda,NA,NA,NA
Atsushi Nakamura,2,Bhutan,NA,NA,NA
Oscar Villegas,2,Bolivia,NA,NA,NA
Sergej Barbarez,2,Bosnia and Herzegovina,NA,NA,NA
Morena Ramoreboli,2,Botswana,NA,NA,NA
Carlo Ancelotti,2,Brazil,NA,NA,NA
David Pérez Asensio,2,British Virgin Islands,NA,NA,NA
Fabio Joaquim Maciel Da Silva,2,Brunei Darussalam,NA,NA,NA
Aleksandar Dimitrov,2,Bulgaria,NA,NA,NA
Brama Traoré,2,Burkina Faso,NA,NA,NA
Patrick Sangwa,2,Burundi,NA,NA,NA
Pedro Leitão Brito,2,Cabo Verde,NA,NA,NA
Koji Gyotoku,2,Cambodia,NA,NA,NA
Martin Felix Ndtoungou Mpile,2,Cameroon,NA,NA,NA
Jesse Marsch,2,Canada,NA,NA,NA
Colin Rowe,2,Cayman Islands,NA,NA,NA
Eloge Enza-Yamissi,2,Central African Republic,NA,NA,NA
Raoul Savoy,2,Chad,NA,NA,NA
Nicolas Córdova,2,Chile,NA,NA,NA
Jiayi Shao,2,China PR,NA,NA,NA
Matthew Barry Ross,2,Chinese Taipei,NA,NA,NA
Néstor Lorenzo,2,Colombia,NA,NA,NA
Stefano Cusin,2,Comoros,NA,NA,NA
Fabrizio Cesana,2,Congo,NA,NA,NA
Sébastien Desabre,2,Congo DR,NA,NA,NA
Tuka Tisam,2,Cook Islands,NA,NA,NA
Miguel Herrera Aguirre,2,Costa Rica,NA,NA,NA
Emerse Fae,2,Côte d'Ivoire,NA,NA,NA
Zlatko Dalić,2,Croatia,NA,NA,NA
Pedro Pablo Pereira Mesa,2,Cuba,NA,NA,NA
Dean Gorre,2,Curaçao,NA,NA,NA
Apostolos Mantzios,2,Cyprus,NA,NA,NA
Jaroslav Köstl,2,Czechia,NA,NA,NA
Brian Riemer,2,Denmark,NA,NA,NA
Stéphane Nado,2,Djibouti,NA,NA,NA
Ellington Sabin,2,Dominica,NA,NA,NA
Marcelo Neveleff,2,Dominican Republic,NA,NA,NA
Sebastián Beccacece,2,Ecuador,NA,NA,NA
Hossam Hassan,2,Egypt,NA,NA,NA
Hernán Gomez,2,El Salvador,NA,NA,NA
Thomas Tuchel,2,England,NA,NA,NA
Juan Micha Obiang Bicogo,2,Equatorial Guinea,NA,NA,NA
Jürgen Henn,2,Estonia,NA,NA,NA
Sifiso Ntibane,2,Eswatini,NA,NA,NA
Messay Teferi,2,Ethiopia,NA,NA,NA
Eydun Klakstein,2,Faroe Islands,NA,NA,NA
Stephane Auvray,2,Fiji,NA,NA,NA
Jacob Friis,2,Finland,NA,NA,NA
Didier Deschamps,2,France,NA,NA,NA
Johnathan Mckinstry,2,Gambia,NA,NA,NA
Willy Sagnol,2,Georgia,NA,NA,NA
Julian Nagelsmann,2,Germany,NA,NA,NA
Nana Otto Addo,2,Ghana,NA,NA,NA
Scott Wiseman,2,Gibraltar,NA,NA,NA
Ivan Jovanovic,2,Greece,NA,NA,NA
Anthony Modeste,2,Grenada,NA,NA,NA
Ross Awa,2,Guam,NA,NA,NA
Luis Fernando Tena Garduño,2,Guatemala,NA,NA,NA
Duarte Paulo,2,Guinea,NA,NA,NA
Emiliano Te,2,Guinea-Bissau,NA,NA,NA
Thomas Dooley,2,Guyana,NA,NA,NA
Sébastien Migné,2,Haiti,NA,NA,NA
Reinaldo Rueda Rivera,2,Honduras,NA,NA,NA
Ashley Westwood,2,Hong Kong China,NA,NA,NA
Marco Rossi,2,Hungary,NA,NA,NA
Arnar Gunnlaugsson,2,Iceland,NA,NA,NA
Khalid Jamil,2,India,NA,NA,NA
Nova Arianto,2,Indonesia,NA,NA,NA
Ardeshir Ghalehnoy,2,IR Iran,NA,NA,NA
Graham Arnold,2,Iraq,NA,NA,NA
Ran Ben Simon,2,Israel,NA,NA,NA
Gennaro Gattuso,2,Italy,NA,NA,NA
Hajime Moriyasu,2,Japan,NA,NA,NA
Jamal Sellami,2,Jordan,NA,NA,NA
Talgat Baisufinov,2,Kazakhstan,NA,NA,NA
Benni Mccarthy,2,Kenya,NA,NA,NA
Yun Jong Su,2,Korea DPR,NA,NA,NA
Myung Bo Hong,2,Korea Republic,NA,NA,NA
Franco Foda,2,Kosovo,NA,NA,NA
Hélio Filipe Dias De Sousa,2,Kuwait,NA,NA,NA
Urmat Abdukaimov,2,Kyrgyz Republic,NA,NA,NA
Hyeok-Jun Ha,2,Laos,NA,NA,NA
Paolo Nicolato,2,Latvia,NA,NA,NA
Miodrag Radulovic,2,Lebanon,NA,NA,NA
Leslie Makhetha Notsi,2,Lesotho,NA,NA,NA
Alejo Cissé,2,Libya,NA,NA,NA
Konrad Fünfstück,2,Liechtenstein,NA,NA,NA
Edgaras Jankauskas,2,Lithuania,NA,NA,NA
Jeff Strasser,2,Luxembourg,NA,NA,NA
Kar Lok Kenneth Kwok,2,Macau,NA,NA,NA
Corentin Martins,2,Madagascar,NA,NA,NA
Kalisto Pasuwa,2,Malawi,NA,NA,NA
Peter Cklamovski,2,Malaysia,NA,NA,NA
Mohamed Siyaz,2,Maldives,NA,NA,NA
Tom Saintfiet,2,Mali,NA,NA,NA
Emilio De Leo,2,Malta,NA,NA,NA
Aritz López Garay,2,Mauritania,NA,NA,NA
Guillaume Moullec,2,Mauritius,NA,NA,NA
Javier Aguirre,2,Mexico,NA,NA,NA
Lilian Popescu,2,Moldova,NA,NA,NA
Garidmagnai Bayasgalan,2,Mongolia,NA,NA,NA
Mirko Vučinić,2,Montenegro,NA,NA,NA
Angus Eve,2,Montserrat,NA,NA,NA
Hoalid Regragui,2,Morocco,NA,NA,NA
Francisco Queriol Conde Junior,2,Mozambique,NA,NA,NA
Myo Hlaing Win,2,Myanmar,NA,NA,NA
Collin Benjamin,2,Namibia,NA,NA,NA
Hari Khadka,2,Nepal,NA,NA,NA
Ronald Koeman,2,Netherlands,NA,NA,NA
Johan Sidaner,2,New Caledonia,NA,NA,NA
Darren Bazeley,2,New Zealand,NA,NA,NA
Marco Antonio Figueroa Montero,2,Nicaragua,NA,NA,NA
Zakariaou Ibrahim,2,Niger,NA,NA,NA
Blagoja Milevski,2,North Macedonia,NA,NA,NA
Michael Oneill,2,Northern Ireland,NA,NA,NA
Ståle Solbakken,2,Norway,NA,NA,NA
Carlos Queiroz,2,Oman,NA,NA,NA
Nolberto Albino Solano Todco,2,Pakistan,NA,NA,NA
Ehab Abu Jazar,2,Palestine,NA,NA,NA
Thomas Christiansen,2,Panama,NA,NA,NA
David Muta,2,Papua New Guinea,NA,NA,NA
Gustavo Alfaro,2,Paraguay,NA,NA,NA
Manuel Barreto,2,Peru,NA,NA,NA
Carles Cuadrat,2,Philippines,NA,NA,NA
Jan Urban,2,Poland,NA,NA,NA
Roberto Martinez,2,Portugal,NA,NA,NA
Charlie Trout,2,Puerto Rico,NA,NA,NA
Julen Lopetegui,2,Qatar,NA,NA,NA
Heimir Hallgrimsson,2,Republic of Ireland,NA,NA,NA
Mircea Lucescu,2,Romania,NA,NA,NA
Valeri Karpin,2,Russia,NA,NA,NA
Adel Amrouche,2,Rwanda,NA,NA,NA
Valerio Raccuglia,2,Samoa,NA,NA,NA
Roberto Cevoli,2,San Marino,NA,NA,NA
Ricardo Monsanto,2,São Tomé and Príncipe,NA,NA,NA
Herve Renard,2,Saudi Arabia,NA,NA,NA
Steve Clarke,2,Scotland,NA,NA,NA
Pape Bouna Thiaw,2,Senegal,NA,NA,NA
Veljko Paunovic,2,Serbia,NA,NA,NA
Ralph Jean-Louis,2,Seychelles,NA,NA,NA
Mohamed Kallon,2,Sierra Leone,NA,NA,NA
Gavin Lee,2,Singapore,NA,NA,NA
Francesco Calzona,2,Slovakia,NA,NA,NA
Matjaž Kek,2,Slovenia,NA,NA,NA
Josh Smith,2,Solomon Islands,NA,NA,NA
Yusuf Ali,2,Somalia,NA,NA,NA
Hugo Broos,2,South Africa,NA,NA,NA
Simon James Yor Kak,2,South Sudan,NA,NA,NA
Luis De La Fuente Castillo,2,Spain,NA,NA,NA
