id,role,nationality,club_2025,club_2024,club_2023
Alon Hazan,2,Israel,NA,NA,NA
John Wall,2,Jamaica,NA,NA,NA
Lhoussaine Ammouta,2,Jordan,NA,NA,NA
Magomed Adiev,2,Kazakhstan,NA,NA,NA
Juergen Klinsmann,2,Korea Republic,NA,NA,NA
Primoz Gliha,2,Kosovo,NA,NA,NA
Rui Bento,2,Kuwait,NA,NA,NA
Stefan Tarkovic,2,Kyrgyz Republic,NA,NA,NA
Kanlaya Sysomvang,2,Laos,NA,NA,NA
Dainis Kazakevics,2,Latvia,NA,NA,NA
Aleksandar Ilic,2,Lebanon,NA,NA,NA
Ansumana Keita,2,Liberia,NA,NA,NA
Salem El Jelali,2,Libya,NA,NA,NA
Lazaro Fonseca Da Costa Oliveira,2,Macau,NA,NA,NA
Patrick Mabedi,2,Malawi,NA,NA,NA
Kim Pan Gon,2,Malaysia,NA,NA,NA
Eric Sekou Chelle,2,Mali,NA,NA,NA
Michele Marcolini,2,Malta,NA,NA,NA
Amir Abdou,2,Mauritania,NA,NA,NA
Etienne Olivier Fidy Rasoanaivo ,2,Mauritius,NA,NA,NA
Jaime Arturo Lozano Espin,2,Mexico,NA,NA,NA
Ichiro Otsuka,2,Mongolia,NA,NA,NA
Lee David Bowyer,2,Montserrat,NA,NA,NA
Michael Feichtenbeiner,2,Myanmar,NA,NA,NA
Vincenzo Alberto Annese,2,Nepal,NA,NA,NA
Jose Vitor Dos Santos Peseiro,2,Nigeria,NA,NA,NA
Harrison Kamake,2,Papua New Guinea,NA,NA,NA
Daniel Garnero,2,Paraguay,NA,NA,NA
Juan Reynoso Guzman,2,Peru,NA,NA,NA
Michael Weiss,2,Philippines,NA,NA,NA
Stephen Kenny,2,Republic of Ireland,NA,NA,NA
Edward Marius Iordanescu,2,Romania,NA,NA,NA
Gerard Marcel Alain Buscher,2,Rwanda,NA,NA,NA
Ryan Stewart,2,Samoa,NA,NA,NA
Fabrizio Costantini,2,San Marino,NA,NA,NA
Adriano Eusébio,2,São Tomé and Príncipe,NA,NA,NA
Roberto Mancini,2,Saudi Arabia,NA,NA,NA
Aliou Cissé,2,Senegal,NA,NA,NA
Takayuki Nishigaya,2,Singapore,NA,NA,NA
Felipe Vega Arango,2,Solomon Islands,NA,NA,NA
Rachid Lousteque,2,Somalia,NA,NA,NA
Andrew Morrison,2,Sri Lanka,NA,NA,NA
Austin Huggins,2,St Kitts and Nevis,NA,NA,NA
Theon Gordon,2,St Vincent and the Grenadines,NA,NA,NA
Aron Winter,2,Suriname,NA,NA,NA
Jan Andersson,2,Sweden,NA,NA,NA
Hector Raul Cuper,2,Syria,NA,NA,NA
Petar Šegrt,2,Tajikistan,NA,NA,NA
Mano Polking,2,Thailand,NA,NA,NA
Suntae Park,2,Timor-Leste,NA,NA,NA
Paulo Duarte,2,Togo,NA,NA,NA
Timote Moleni,2,Tonga,NA,NA,NA
Jalel Kadri,2,Tunisia,NA,NA,NA
Ricky Hill,2,Turks and Caicos Islands,NA,NA,NA
Morley Byekwaso,2,Uganda,NA,NA,NA
Gilberto Junior Damiano Maciel,2,US Virgin Islands,NA,NA,NA
Gregg Berhalter,2,USA,NA,NA,NA
Etienne Mermer,2,Vanuatu,NA,NA,NA
Philippe Bernard Victor Troussier,2,Vietnam,NA,NA,NA
Robert Page,2,Wales,NA,NA,NA
Miroslav Soukup,2,Yemen,NA,NA,NA
Abraham Grant,2,Zambia,NA,NA,NA
Baltemar Brito,2,Zimbabwe,NA,NA,NA
Seever Krozendijk,3,Aruba,NA,NA,NA
Lackner Gerhard,3,Austria,NA,NA,NA
Simba French,3,Bahamas,NA,NA,NA
Raihan Mahmood,3,Bangladesh,NA,NA,NA
Siarhei Nikalayeu,3,Belarus,NA,NA,NA
Earl Basden,3,Bermuda,NA,NA,NA
Duncan Kgangkenna,3,Botswana,NA,NA,NA
Martín Fernandez,3,Brazil,NA,NA,NA
Charlie Jackson,3,British Virgin Islands,NA,NA,NA
Emmanuel Kaba,3,Congo,NA,NA,NA
Jorge Bauger,3,Dominican Republic,NA,NA,NA
Fabien Essiane,3,Equatorial Guinea,NA,NA,NA
Chris Dlamini,3,Eswatini,NA,NA,NA
Zurab Potskhveria,3,Georgia,NA,NA,NA
Michel Ramboa,3,Madagascar,NA,NA,NA
Bakary Diakite,3,Mali,NA,NA,NA
Sandro Micallef,3,Malta,NA,NA,NA
Azmaal Hydoo,3,Mauritius,NA,NA,NA
Miron Goihman,3,Moldova,NA,NA,NA
Jalal Bouzrara,3,Morocco,NA,NA,NA
Lin Maw,3,Myanmar,NA,NA,NA
Jesse Jackson Kauraisa,3,Namibia,NA,NA,NA
Alam Zeb Safi,3,Pakistan,NA,NA,NA
Gerard Leonard Govinden,3,Seychelles,NA,NA,NA
Mohamed Elkhatim,3,Sudan,NA,NA,NA
Tanzania,3,Tanzania,NA,NA,NA
The Gambia,3,The Gambia,NA,NA,NA
Kevin De Bruyne,4,Belgium,NA,NA,Manchester City
Victor Osimhen,4,Nigeria,NA,NA,SSC Neapel
Julián Álvarez,4,Argentina,NA,NA,Manchester City
Khvicha Kvaratskhelia,4,Georgia,NA,NA,SSC Neapel
Marcelo Brozović,4,Croatia,NA,NA,Al-Nassr FC
Declan Rice,4,England,NA,NA,FC Arsenal
Ahmed Abdullahi Abdi Baanuu,1,Somalia,NA,NA,
Augustine Owen Eguavoen,2,Nigeria ,NA,,
Emmanuel Arnold Okwi,1,Uganda ,NA,,
Franck Kessié,1,Côte d'Ivoire,NA,,
Thierry Mouyouma,2,Gabon,NA,NA,NA
Saleh Ally Saleh,3,Tanzania,NA,NA,NA
