name,role,country,club
Elias Pelembe,1,Mozambique,UD Songo
Mg Mg Lwin,1,Myanmar,Lamphun Warriors
Riaan Hanamub,1,Namibia,AmaZulu FC
Kiran Chemjong,1,Nepal,Punjab FC
Virgil Van Dijk,1,Netherlands,FC Liverpool
Morgan Mathelon,1,New Caledonia,AS Tiga Sports
Chris Wood,1,New Zealand,Nottingham Forest
Juan Barrera,1,Nicaragua,Managua FC
Youssouf Oumarou Aliou,1,Niger,Al-Karma
William Ekong,1,Nigeria,Al-Kholood Club
Enis Bardhi,1,North Macedonia,Bodrum FK
Conor Bradley,1,Northern Ireland,FC Liverpool
Martin Odegaard,1,Norway,FC Arsenal
Fayiz Alrushaidi,1,Oman,Al-Nahda Club
Abdullah Iqbal,1,Pakistan,Mjällby AIF
Musab Battat,1,Palestine,Al-Wakrah SC
Aníbal Godoy,1,Panama,San Diego FC
Raymond Gunemba,1,Papua New Guinea,Lae City FC
Gustavo Gomez,1,Paraguay,Sociedade Esportiva Palmeiras
Pedro Gallese,1,Peru,Orlando City SC
Amani Aguinaldo,1,Philippines,Rayong FC
Robert Lewandowski,1,Poland,FC Barcelona
Bernardo Silva,1,Portugal,Manchester City
Leandro Antonetti,1,Puerto Rico,Sevilla Atlético
Hassan Alhaydos,1,Qatar,Al-Sadd SC
Nathan Collins,1,Republic of Ireland,FC Brentford
Ianis Hagi,1,Romania,Glasgow Rangers
Aleksandr Golovin,1,Russia,AS Monaco
Bizimana Djihad,1,Rwanda,Al-Ahli SC
Andrew Setefano,1,Samoa,Lupe Ole Soaga
Matteo Vitaioli,1,San Marino,La Fiorita
Joel Neves,1,São Tomé and Príncipe,Oriental
Salem Aldawsari,1,Saudi Arabia,Al-Hilal SFC
Andrew Robertson,1,Scotland,FC Liverpool
Kalidou Koulibaly,1,Senegal,Al-Hilal SFC
Aleksandar Mitrovic,1,Serbia,Al-Hilal SFC
Elie Nelson Jr Sopha,1,Seychelles,St. Michel United
Mustapha Bundu,1,Sierra Leone,Plymouth Argyle
Hariss Harun,1,Singapore,Lion City Sailors
Milan Škriniar,1,Slovakia,Fenerbahce
Jan Oblak,1,Slovenia,Atlético Madrid
Javin Alick,1,Solomon Islands,Solomon Kings
Abdulsamed Abdullahi,1,Somalia,FK Novi Pazar
Ronwen Williams,1,South Africa,Mamelodi Sundowns FC
Atir Thomas Tom Magor,1,South Sudan,Hay Al-Wadi FC
Unai Simon Mendibil,1,Spain,Athletic Bilbao
Sujan Perera,1,Sri Lanka,TC Sports Club
Julani Archibald,1,St Kitts and Nevis,CD Victoria La Ceiba
Oalex Anderson,1,St Vincent and the Grenadines,North Carolina FC
Dion Malone,1,Suriname,Karmiotissa Pano Polemidion
Victor Lindelof,1,Sweden,Manchester United
Granit Xhaka,1,Switzerland,Bayer 04 Leverkusen
Omar Khrbin,1,Syria,Al-Wahda FC
Teaonui Tehau,1,Tahiti,AS Vénus Mahina
Akhtam Nazarov,1,Tajikistan,Istiklol Dushanbe
Mbwana Samatta,1,Tanzania,PAOK Thessaloniki
Chanathip Songkrasin,1,Thailand,BG Pathum United
Gali Freitas,1,Timor-Leste,PSIS Semarang
Dakonam Ortega Djene,1,Togo,FC Getafe
Hemaloto Polovili,1,Tonga,Veitongo FC
Kevin Molino,1,Trinidad and Tobago,Defence Force
Ferjani Sassi,1,Tunisia,Al-Gharafa SC
Hakan Calhanoglu,1,Türkiye,Inter Mailand
Elman Tagayev,1,Turkmenistan,Ahal FK
Makenson Cadet,1,Turks and Caicos Islands,SWA Sharks
Aucho Khalid,1,Uganda,Young Africans SC
Mykola Matviyenko,1,Ukraine,Shakhtar Donetsk
Khaseif Ali,1,United Arab Emirates,Al-Jazira Club
Jose Gimenez,1,Uruguay,Atlético Madrid
Joshua Ramos,1,US Virgin Islands,Chattanooga Red Wolfes SC
Tim Ream,1,USA,Charlotte FC
Eldor Shomurodov,1,Uzbekistan,AS Rom
Michel Kalmalap Coulon,1,Vanuatu,Vanuatu United FC
Salomón Rondón,1,Venezuela,CF Pachuca
