from,to,vote,relationship,year,weight
Rayan Raveloson,Ousmane Dembélé,5,4,2025,NA
Richard Mbulu,Ousmane Dembélé,5,4,2025,NA
Matthew Davies,Harry Kane,5,4,2025,NA
Ali Samooh,Ousmane Dembélé,5,4,2025,NA
Yves Bissouma,Ousmane Dembélé,5,4,2025,NA
Matthew Guillaumier,Ousmane Dembélé,5,4,2025,NA
Aly Abeid,Ousmane Dembélé,5,4,2025,NA
Lindsay Rose,Vitinha,5,4,2025,NA
Edson Omar Alvarez Velazquez,Ousmane Dembélé,5,4,2025,NA
Rata Vadim,Lamine Yamal,5,4,2025,NA
Tsendayush Khurelbaatar,Kylian Mbappé,5,4,2025,NA
Stevan Jovetic,Lamine Yamal,5,4,2025,NA
Brandon Comley,Ousmane Dembélé,5,4,2025,NA
Achraf Hakimi,Kylian Mbappé,5,4,2025,NA
Elias Pelembe,Lamine Yamal,5,4,2025,NA
Lwin Maung Maung,Ousmane Dembélé,5,4,2025,NA
Riaan Hanamub,Ousmane Dembélé,5,4,2025,NA
Kiran Limbu Chemjong,Ousmane Dembélé,5,4,2025,NA
Virgil Van Dijk,Mohamed Salah,5,2,2025,NA
Morgan Mathelon,Ousmane Dembélé,5,4,2025,NA
Chris Wood,Ousmane Dembélé,5,4,2025,NA
Juan Barrera,Ousmane Dembélé,5,4,2025,NA
Youssouf Oumarou,Achraf Hakimi,5,4,2025,NA
William Ekong,Ousmane Dembélé,5,4,2025,NA
Enis Bardhi,Ousmane Dembélé,5,4,2025,NA
Conor Bradley,Lamine Yamal,5,4,2025,NA
Martin Odegaard,Ousmane Dembélé,5,4,2025,NA
Fayiz Alrushaidi,Kylian Mbappé,5,4,2025,NA
Abdullah Iqbal,Ousmane Dembélé,5,4,2025,NA
Musab Battat,Achraf Hakimi,5,4,2025,NA
Anibal Godoy,Ousmane Dembélé,5,4,2025,NA
Raymond Gunemba,Mohamed Salah,5,4,2025,NA
Gustavo Gomez,Ousmane Dembélé,5,4,2025,NA
Pedro Gallese,Kylian Mbappé,5,4,2025,NA
Amani Aguinaldo,Ousmane Dembélé,5,4,2025,NA
Robert Lewandowski,Lamine Yamal,5,2,2025,NA
Bernardo Silva,Vitinha,5,1,2025,NA
Leandro Antonetti,Ousmane Dembélé,5,4,2025,NA
Hassan Alhaydos,Achraf Hakimi,5,4,2025,NA
Nathan Collins,Ousmane Dembélé,5,4,2025,NA
Ianis Hagi,Lamine Yamal,5,4,2025,NA
Aleksandr Golovin,Kylian Mbappé,5,4,2025,NA
Djihad Bizimana ,Achraf Hakimi,5,4,2025,NA
Andrew Setefano,Mohamed Salah,5,4,2025,NA
Matteo Vitaioli,Lamine Yamal,5,4,2025,NA
Joel Neves,Achraf Hakimi,5,4,2025,NA
Salem Aldawsari,Ousmane Dembélé,5,4,2025,NA
Andrew Robertson,Mohamed Salah,5,2,2025,NA
Kalidou Koulibaly,Ousmane Dembélé,5,4,2025,NA
Aleksandar Mitrovic,Ousmane Dembélé,5,4,2025,NA
Elie Nelson Jr Sopha,Raphinha,5,4,2025,NA
Mustapha Bundu,Ousmane Dembélé,5,4,2025,NA
Hariss Harun,Ousmane Dembélé,5,4,2025,NA
Milan Škriniar,Ousmane Dembélé,5,4,2025,NA
Jan Oblak,Ousmane Dembélé,5,4,2025,NA
Javin Alick,Lamine Yamal,5,4,2025,NA
Abdulsamed Abdullahi,Ousmane Dembélé,5,4,2025,NA
Ronwen Williams,Ousmane Dembélé,5,4,2025,NA
Atir Thomas Tom Magor,Ousmane Dembélé,5,4,2025,NA
Unai Simon Mendibil,Lamine Yamal,5,1,2025,NA
Sujan Perera,Ousmane Dembélé,5,4,2025,NA
Julani Archibald,Ousmane Dembélé,5,4,2025,NA
Oalex Anderson,Ousmane Dembélé,5,4,2025,NA
Dion Malone,Ousmane Dembélé,5,4,2025,NA
Victor Lindelof,Ousmane Dembélé,5,4,2025,NA
Granit Xhaka,Ousmane Dembélé,5,4,2025,NA
Omar Khrbin,Ousmane Dembélé,5,4,2025,NA
Teaonui Tehau,Kylian Mbappé,5,4,2025,NA
Akhtam Nazarov,Kylian Mbappé,5,4,2025,NA
Mbwana Ally Samatta,Ousmane Dembélé,5,4,2025,NA
Chanathip Songkrasin,Ousmane Dembélé,5,4,2025,NA
Gali Freitas,Kylian Mbappé,5,4,2025,NA
Dakonam Ortega Djene,Achraf Hakimi,5,4,2025,NA
Hemaloto Polovili,Raphinha,5,4,2025,NA
Kevin Molino,Cole Palmer,5,4,2025,NA
Ferjani Sassi,Achraf Hakimi,5,4,2025,NA
Hakan Calhanoglu,Ousmane Dembélé,5,4,2025,NA
Elman Tagayev,Lamine Yamal,5,4,2025,NA
Makenson Cadet,Ousmane Dembélé,5,4,2025,NA
Aucho Khalid,Raphinha,5,4,2025,NA
