from;to;weight;relationship;year;;
Rayan Raveloson;Ousmane Dembélé;5;4;2025;;
Richard Mbulu;Ousmane Dembélé;5;4;2025;;
Matthew Davies;   Harry Kane ;5;4;2025;;
Samooh Ali;Ousmane Dembélé;5;4;2025;;
Yves Bissouma;Ousmane Dembélé;5;4;2025;;
Matthew Guillaumier;Ousmane Dembélé;5;4;2025;;
Aly Abeid;Ousmane Dembélé;5;4;2025;;
Lindsay Rose;    Vitinha ;5;4;2025;;
Edson Omar Alvarez Velazquez;Ousmane Dembélé;5;4;2025;;
Rata Vadim;  Lamine Yamal ;5;4;2025;;
Tsendayush Khurelbaatar;  Kylian Mbappé ;5;4;2025;;
Stevan Jovetic;  Lamine Yamal ;5;4;2025;;
Brandon Comley;Ousmane Dembélé;5;4;2025;;
Achraf Hakimi;  Kylian Mbappé ;5;4;2025;;
Elias Pelembe;  Lamine Yamal ;5;4;2025;;
Mg Mg Lwin;Ousmane Dembélé;5;4;2025;;
Riaan Hanamub;Ousmane Dembélé;5;4;2025;;
Kiran Chemjong;Ousmane Dembélé;5;4;2025;;
Virgil Van Dijk; Mohamed Salah ;5;2;2025;;
Morgan Mathelon;Ousmane Dembélé;5;4;2025;;
Chris Wood;Ousmane Dembélé;5;4;2025;;
Juan Barrera;Ousmane Dembélé;5;4;2025;;
Youssouf Oumarou Aliou;  Achraf Hakimi ;5;4;2025;;
William Ekong;Ousmane Dembélé;5;4;2025;;
Enis Bardhi;Ousmane Dembélé;5;4;2025;;
Conor Bradley;  Lamine Yamal ;5;4;2025;;
Martin Odegaard;Ousmane Dembélé;5;4;2025;;
Fayiz Alrushaidi;Kylian Mbappé;5;4;2025;;
Abdullah Iqbal;Ousmane Dembélé;5;4;2025;;
Musab Battat;  Achraf Hakimi ;5;4;2025;;
Aníbal Godoy;Ousmane Dembélé;5;4;2025;;
Raymond Gunemba; Mohamed Salah ;5;4;2025;;
Gustavo Gomez;Ousmane Dembélé;5;4;2025;;
Pedro Gallese; Kylian Mbappé ;5;4;2025;;
Amani Aguinaldo;Ousmane Dembélé;5;4;2025;;
Robert Lewandowski;  Lamine Yamal ;5;2;2025;;
Bernardo Silva;    Vitinha ;5;1;2025;;
Leandro Antonetti;Ousmane Dembélé;5;4;2025;;
Hassan Alhaydos;  Achraf Hakimi ;5;4;2025;;
Nathan Collins;Ousmane Dembélé;5;4;2025;;
Ianis Hagi;  Lamine Yamal ;5;4;2025;;
Aleksandr Golovin; Kylian Mbappé ;5;4;2025;;
Bizimana Djihad;  Achraf Hakimi ;5;4;2025;;
Andrew Setefano; Mohamed Salah ;5;4;2025;;
Matteo Vitaioli;  Lamine Yamal ;5;4;2025;;
Joel Neves;  Achraf Hakimi ;5;4;2025;;
Salem Aldawsari;Ousmane Dembélé;5;4;2025;;
Andrew Robertson; Mohamed Salah ;5;2;2025;;
Kalidou Koulibaly;Ousmane Dembélé;5;4;2025;;
Aleksandar Mitrovic;Ousmane Dembélé;5;4;2025;;
Elie Nelson Jr Sopha;   Raphinha ;5;4;2025;;
Mustapha Bundu;Ousmane Dembélé;5;4;2025;;
Hariss Harun;Ousmane Dembélé;5;4;2025;;
Milan Škriniar;Ousmane Dembélé;5;4;2025;;
Jan Oblak;Ousmane Dembélé;5;4;2025;;
Javin Alick;  Lamine Yamal ;5;4;2025;;
Abdulsamed Abdullahi;Ousmane Dembélé;5;4;2025;;
Ronwen Williams;Ousmane Dembélé;5;4;2025;;
Atir Thomas Tom Magor;Ousmane Dembélé;5;4;2025;;
Unai Simon Mendibil;  Lamine Yamal ;5;1;2025;;
Sujan Perera;Ousmane Dembélé;5;4;2025;;
Julani Archibald;Ousmane Dembélé;5;4;2025;;
Oalex Anderson;Ousmane Dembélé;5;4;2025;;
Dion Malone;Ousmane Dembélé;5;4;2025;;
Victor Lindelof;Ousmane Dembélé;5;4;2025;;
Granit Xhaka;Ousmane Dembélé;5;4;2025;;
Omar Khrbin;Ousmane Dembélé;5;4;2025;;
Teaonui Tehau;  Kylian Mbappé ;5;4;2025;;
Akhtam Nazarov;  Kylian Mbappé ;5;4;2025;;
Mbwana Samatta;Ousmane Dembélé;5;4;2025;;
Chanathip Songkrasin;Ousmane Dembélé;5;4;2025;;
Gali Freitas;  Kylian Mbappé ;5;4;2025;;
Dakonam Ortega Djene;  Achraf Hakimi ;5;4;2025;;
Hemaloto Polovili;   Raphinha ;5;4;2025;;
Kevin Molino;  Cole Palmer ;5;4;2025;;
Ferjani Sassi;  Achraf Hakimi ;5;4;2025;;
Hakan Calhanoglu;Ousmane Dembélé;5;4;2025;;
Elman Tagayev;  Lamine Yamal ;5;4;2025;;
Makenson Cadet;Ousmane Dembélé;5;4;2025;;
Aucho Khalid;   Raphinha ;5;4;2025;;
Mykola Matviyenko;  Kylian Mbappé ;5;4;2025;;
Khaseif Ali; Mohamed Salah ;5;4;2025;;
Jose Gimenez;Ousmane Dembélé;5;4;2025;;
Joshua Ramos;  Kylian Mbappé ;5;4;2025;;
Tim Ream;Ousmane Dembélé;5;4;2025;;
Eldor Shomurodov;   Raphinha ;5;4;2025;;
Michel Kalmalap Coulon;Ousmane Dembélé;5;4;2025;;
Salomón Rondón;Ousmane Dembélé;5;4;2025;;
Manh Do;Ousmane Dembélé;5;4;2025;;
Aaron Ramsey;Ousmane Dembélé;5;4;2025;;
Harwan Alzubaidi;Ousmane Dembélé;5;4;2025;;
Lubambo Musonda;Ousmane Dembélé;5;4;2025;;
Elias Ahmad Manouchehr;  Kylian Mbappé ;5;4;2025;;
Sylvio Mendes Campos Júnior;Ousmane Dembélé;5;4;2025;;
Vladimir Petkovic;Ousmane Dembélé;5;4;2025;;
Travis Sinapati;Nuno Mendes;5;4;2025;;
Koldo Alvarez De Eulate;  Lamine Yamal ;5;4;2025;;
Patrice Alain Marie Beaumelle;  Achraf Hakimi ;5;4;2025;;
Cleo Hamm;Ousmane Dembélé;5;4;2025;;
Lionel Scaloni; Kylian Mbappé ;5;4;2025;;
Melikian Iegishe;  Lamine Yamal ;5;4;2025;;
Marvic Bermudez;   Raphinha ;5;4;2025;;
Tony Popovic;Ousmane Dembélé;5;4;2025;;
Ralf Rangnick;Ousmane Dembélé;5;4;2025;;
Aykhan Abbasov;  Achraf Hakimi ;5;4;2025;;
Dragan Talajic;  Achraf Hakimi ;5;4;2025;;
Javier Cabrera;Ousmane Dembélé;5;4;2025;;
Kent Edward Hall;  Nuno Mendes ;5;4;2025;;
Carlos Alos Ferrer;  Lamine Yamal ;5;4;2025;;
Rudi Garcia;  Achraf Hakimi ;5;4;2025;;
Philip Elexious Marin; Kylian Mbappé ;5;4;2025;;
Gernot Rohr; Kylian Mbappé ;5;4;2025;;
Michael Findlay;Ousmane Dembélé;5;4;2025;;
Atsushi Nakamura;Ousmane Dembélé;5;4;2025;;
Oscar Villegas;  Lamine Yamal ;5;4;2025;;
Sergej Barbarez;  Harry Kane ;5;4;2025;;
Morena Ramoreboli;Ousmane Dembélé;5;4;2025;;
Carlo Ancelotti;Ousmane Dembélé;5;4;2025;;
David Pérez Asensio;  Achraf Hakimi ;5;4;2025;;
Fabio Joaquim Maciel Da Silva;   Raphinha ;5;4;2025;;
