from;to;weight;relationship;year;;
Nikolaos Kotsis; Ousmane Dembélé;5;4;2025;;
Michael Bascombe; Mohamed Salah ;5;4;2025;;
Joseph Santo Tomas; Mohamed Salah ;5;4;2025;;
Carlos Marín; Ousmane Dembélé;5;4;2025;;
Alpha Mady Touré; Ousmane Dembélé;5;4;2025;;
Rawle Toney; Ousmane Dembélé;5;4;2025;;
Lutherson Léon; Ousmane Dembélé;5;4;2025;;
Gonzalo Carías; Ousmane Dembélé;5;4;2025;;
Ho Yin Kwok;Mohamed Salah;5;4;2025;;
György Szöllösi; Ousmane Dembélé;5;4;2025;;
Vidir Sigurdsson; Ousmane Dembélé;5;4;2025;;
Dhiman Sarkar; Ousmane Dembélé;5;4;2025;;
Muhamad Rais Adnan; Ousmane Dembélé;5;4;2025;;
Masoud Hossein; Ousmane Dembélé;5;4;2025;;
Arshed Alsaedi;   Raphinha ;5;4;2025;;
Uri Dagon; Ousmane Dembélé;5;4;2025;;
Pierluigi Pardo; Ousmane Dembélé;5;4;2025;;
Brian Lewis; Ousmane Dembélé;5;4;2025;;
Hideo Tamaru; Ousmane Dembélé;5;4;2025;;
Taiser Alomiri;  Kylian Mbappé ;5;4;2025;;
Geniy Tulegenov;  Achraf Hakimi ;5;4;2025;;
Eric Njiru; Mohamed Salah ;5;4;2025;;
Gun Lee; Ousmane Dembélé;5;4;2025;;
Lavdim Pireva; Ousmane Dembélé;5;4;2025;;
Abdulaziz Jassim; Ousmane Dembélé;5;4;2025;;
Bakyt Shukuraliev;    Vitinha ;5;4;2025;;
Ekasanh Thipphachack; Ousmane Dembélé;5;4;2025;;
Ilvars Koscinkevics;    Vitinha ;5;4;2025;;
Hachem Makkeh; Mohamed Salah ;5;4;2025;;
Moorosi Simon Tsiane; Ousmane Dembélé;5;4;2025;;
Anthony Kokoi;  Achraf Hakimi ;5;4;2025;;
Haithem Elamari;  Achraf Hakimi ;5;4;2025;;
Jan Stärker;   Harry Kane ;5;4;2025;;
Mindaugas Augustis; Ousmane Dembélé;5;4;2025;;
Christelle Diederich;  Lamine Yamal ;5;4;2025;;
Samson Randrianiheriniaina;  Achraf Hakimi ;5;4;2025;;
Peter Kanjere; Ousmane Dembélé;5;4;2025;;
Ajitpal Singh Dhaliwal;  Lamine Yamal ;5;4;2025;;
Azzam Ali; Ousmane Dembélé;5;4;2025;;
Boubacar Diakite; Ousmane Dembélé;5;4;2025;;
Domenic Aquilina;   Harry Kane ;5;4;2025;;
Brahim Sow Deïna;  Achraf Hakimi ;5;4;2025;;
Francisco Javier González;Ousmane Dembélé;5;4;2025;;
Alexandru Fosa;Ousmane Dembélé;5;4;2025;;
Enkhtuvshin Tserensodnom;Ousmane Dembélé;5;4;2025;;
Danilo Mitrovic;   Harry Kane ;5;4;2025;;
Basil Chambers;Ousmane Dembélé;5;4;2025;;
Jalal Bounouar;  Achraf Hakimi ;5;1;2025;;
João Arnaldo Carlija Chivale;Ousmane Dembélé;5;4;2025;;
Sheefeni Nikodemus;Ousmane Dembélé;5;4;2025;;
Bikram Thapa;Ousmane Dembélé;5;4;2025;;
Jaap De Groot;Ousmane Dembélé;5;4;2025;;
Martin Charmasson;Ousmane Dembélé;5;4;2025;;
Michael Burgess;Ousmane Dembélé;5;4;2025;;
Jose Nectali Mora Zeledon;Ousmane Dembélé;5;4;2025;;
Abdel Malik Koudizé;Ousmane Dembélé;5;4;2025;;
Oluwashina Okeleji;Ousmane Dembélé;5;4;2025;;
Igor Panevski;Ousmane Dembélé;5;4;2025;;
Mark Mcintosh;Ousmane Dembélé;5;4;2025;;
Morten Pedersen;    Vitinha ;5;4;2025;;
Nasser Darwish;  Achraf Hakimi ;5;4;2025;;
Chaudhry Muhammad Ashraf; Mohamed Salah ;5;4;2025;;
Majdi Qasem;  Achraf Hakimi ;5;4;2025;;
David Samudio Garay;Ousmane Dembélé;5;4;2025;;
Patricia Keamo;Ousmane Dembélé;5;4;2025;;
Edgar Cantero;Ousmane Dembélé;5;4;2025;;
Pedro Eduardo Canelo Quispe;Ousmane Dembélé;5;4;2025;;
Ryan Fenix;Ousmane Dembélé;5;4;2025;;
Michal Pol;Ousmane Dembélé;5;4;2025;;
Vítor Serpa;Ousmane Dembélé;5;4;2025;;
Esteban Pagán Rivera;Ousmane Dembélé;5;4;2025;;
Ali Almslmani;  Kylian Mbappé ;5;4;2025;;
Philip Quinn;Ousmane Dembélé;5;4;2025;;
Theodor Jumatate;Ousmane Dembélé;5;4;2025;;
Oleg Koshelev;Ousmane Dembélé;5;4;2025;;
Eddie Nsabimana;Ousmane Dembélé;5;4;2025;;
Elia Gorini;Ousmane Dembélé;5;4;2025;;
Sultan Almohawes; Ousmane Dembélé;5;4;2025;;
Scott Mcdermott;    Vitinha ;5;4;2025;;
Thierno Souleymane Diallo; Ousmane Dembélé;5;4;2025;;
Milan Rasevic; Ousmane Dembélé;5;4;2025;;
Sahr Morris Jr; Ousmane Dembélé;5;4;2025;;
David Lee;  Kylian Mbappé ;5;4;2025;;
Michal Zeman; Ousmane Dembélé;5;4;2025;;
Anze Baselj;    Vitinha ;5;4;2025;;
Crofton Utukana;  Kylian Mbappé ;5;4;2025;;
Gamadiid Guurre;  Cole Palmer ;5;4;2025;;
Robert Marawa; Ousmane Dembélé;5;4;2025;;
Albino Kuek Deng Kuach;  Kylian Mbappé ;5;4;2025;;
Juan Ignacio Gallardo; Ousmane Dembélé;5;4;2025;;
Neville Victor Anthony;  Nuno Mendes ;5;4;2025;;
Terry Finisterre; Ousmane Dembélé;5;4;2025;;
Tahir Salih; Ousmane Dembélé;5;4;2025;;
Desney Romeo; Ousmane Dembélé;5;4;2025;;
Simon Bank; Ousmane Dembélé;5;4;2025;;
Tobias Wedermann; Ousmane Dembélé;5;4;2025;;
Mohamad Nadim Aljabi; Mohamed Salah ;5;4;2025;;
Olivier Huc; Ousmane Dembélé;5;4;2025;;
Faridun Saliev; Ousmane Dembélé;5;4;2025;;
Evance Joseph Mhando; Ousmane Dembélé;5;4;2025;;
Kim Junumporn; Ousmane Dembélé;5;4;2025;;
Kodjo Sedem Gounoubou;  Lamine Yamal ;5;4;2025;;
Justin Akauola;   Raphinha ;5;4;2025;;
Ian Prescott; Ousmane Dembélé;5;4;2025;;
Tarek Ghdiri; Ousmane Dembélé;5;4;2025;;
Serkan Saydam; Ousmane Dembélé;5;4;2025;;
Alexander Vershinin;   Raphinha ;5;4;2025;;
Mayamba Stephen; Ousmane Dembélé;5;4;2025;;
Valerii Novobranets; Ousmane Dembélé;5;4;2025;;
Omran Mohamed; Ousmane Dembélé;5;4;2025;;
Rómulo Martínez Chenlo;Lamine Yamal;5;4;2025;;
Amara Gilbert;  Kylian Mbappé ;5;4;2025;;
Douglas Mcintyre;  Lamine Yamal ;5;4;2025;;
Davron Fayziev;Ousmane Dembélé;5;4;2025;;
Humberto Perozo Suárez;Ousmane Dembélé;5;4;2025;;
Minh Viet Nguyen;Ousmane Dembélé;5;4;2025;;
Paul Abbandonato;Ousmane Dembélé;5;4;2025;;
Basheer Senan;  Lamine Yamal ;5;4;2025;;
Elias Chipepo;Ousmane Dembélé;5;4;2025;;
Sikhumbuzo Moyo;Ousmane Dembélé;5;4;2025;;
Sharif Mukhammad;Vitinha;3;4;2025;;
Berat Djimsiti;Nuno Mendes;3;4;2025;;
Riyad Mahrez;Achraf Hakimi;3;4;2025;;
Roy Ledoux;Cole Palmer;3;4;2025;;
Marc Pujol Pons;Vitinha;3;4;2025;;
Fredy Ribeiro;Raphinha;3;4;2025;;
Germain Hughes;Lamine Yamal;3;4;2025;;
Luther Wildin;Achraf Hakimi;3;4;2025;;
Lionel Messi;Kylian Mbappé;3;4;2025;;
Esuard Spertsian;Pedri;3;4;2025;;
Matthew Robert Lentink;Ousmane Dembélé;3;4;2025;;
Mathew Ryan;Ousmane Dembélé;3;4;2025;;
David Alaba;Achraf Hakimi;3;4;2025;;
Emin Makhmudov;Ousmane Dembélé;3;4;2025;;
Vance Wheaton;Cole Palmer;3;4;2025;;
Sayed Dhiya;Lamine Yamal;3;4;2025;;
Jamal Bhuyan;Ousmane Dembélé;3;4;2025;;
Andre Applewhaite;Ousmane Dembélé;3;4;2025;;
Alexander Martynovich;Kylian Mbappé;3;4;2025;;
Youri Tielemans;Lamine Yamal;3;4;2025;;
Steve Mounie;Raphinha;3;4;2025;;
Dante Leverock;Ousmane Dembélé;3;4;2025;;
Nima Wangdi;Vitinha;3;4;2025;;
Luis Haquin;Cole Palmer;3;4;2025;;
Edin Dzeko;Lamine Yamal;3;4;2025;;
Kabelo Seakanyeng;Lamine Yamal;3;4;2025;;
Marcos Aoás Corrêa;Raphinha;3;1;2025;;
Tsharne Gallimore;Cole Palmer;3;4;2025;;
Muhammad Azwan Ali Rahman;Ousmane Dembélé;3;4;2025;;
Kiril Despodov;Kylian Mbappé;3;4;2025;;
Bertrand Traoré;Lamine Yamal;3;4;2025;;
Frederic Nsabiyumva; Kylian Mbappé ;3;4;2025;;
Ryan Isaac Mendes;Ousmane Dembélé;3;4;2025;;
Krya Saret;  Achraf Hakimi ;3;4;2025;;
Alphonso Davies;Ousmane Dembélé;3;4;2025;;
Dandre Rowe;Ousmane Dembélé;3;4;2025;;
Cherubin Bassé; Kylian Mbappé ;3;4;2025;;
Marius Mouandilmadji;  Lamine Yamal ;3;4;2025;;
Gabriel Suazo;  Lamine Yamal ;3;4;2025;;
Yuning Zhang;Ousmane Dembélé;3;4;2025;;
Po Liang Chen;    Vitinha ;3;4;2025;;
James Rodríguez; Kylian Mbappé ;3;4;2025;;
Youssouf Mchangama;Ousmane Dembélé;3;4;2025;;
Bérenger Richy Itoua; Kylian Mbappé ;3;4;2025;;
Chancel Mbemba;  Achraf Hakimi ;3;4;2025;;
Thane Pora Vogel Beal;Ousmane Dembélé;3;4;2025;;
Francisco Calvo;    Pedri ;3;4;2025;;
Luka Modric;Ousmane Dembélé;3;4;2025;;
Luis Javier Paradela Diaz; Kylian Mbappé ;3;4;2025;;
Kostakis Artymatas;    Vitinha ;3;4;2025;;
Tomas Soucek;  Lamine Yamal ;3;4;2025;;
Pierre Emile Højbjerg; Kylian Mbappé ;3;4;2025;;
Idriss Blha;Ousmane Dembélé;3;4;2025;;
Travist Joseph;    Vitinha ;3;4;2025;;
Jean Carlos López Mocoso;Ousmane Dembélé;3;4;2025;;
Enner Valencia Lastra; Kylian Mbappé ;3;4;2025;;
Mohamed Salah;Ousmane Dembélé;3;4;2025;;
Julio Sibrian;   Raphinha ;3;4;2025;;
Harry Kane;    Vitinha ;3;4;2025;;
Karol Mets;  Lamine Yamal ;3;4;2025;;
Lindo Thembinkosi Mkhonta;Ousmane Dembélé;3;4;2025;;
Hayder Sherefa;  Achraf Hakimi ;3;4;2025;;
Hallur Hansson;    Vitinha ;3;4;2025;;
Roy Krishna;   Raphinha ;3;4;2025;;
Lukas Hradecky;Ousmane Dembélé;3;4;2025;;
Bruno Ecuele Manga;Ousmane Dembélé;3;4;2025;;
Omar Colley;Vitinha;3;4;2025;;
Guram Kashia;Lamine Yamal;3;4;2025;;
Joshua Kimmich;Harry Kane;3;2;2025;;
Jordan Ayew;Kylian Mbappé;3;4;2025;;
Graeme Torrilla;Ousmane Dembélé;3;4;2025;;
Anastasios Bakasetas;Lamine Yamal;3;4;2025;;
Regan Charles-Cook;Kylian Mbappé;3;4;2025;;
Jason Ryan Quitugua Cunliffe;Vitinha;3;4;2025;;
José Carlos Pinto Samayoa;Kylian Mbappé;3;4;2025;;
Issiaga Sylla;Harry Kane;3;4;2025;;
Jorge Nogueira;Ousmane Dembélé;3;4;2025;;
Antony Lozano Colon;Ousmane Dembélé;3;4;2025;;
Hung Fai Yaap;Kylian Mbappé;3;4;2025;;
Dominik Szoboszlai;Ousmane Dembélé;3;4;2025;;
Orri Óskarsson;Ousmane Dembélé;3;4;2025;;
Gurpreet Singh Sandhu;Raphinha;3;4;2025;;
Jay Idzes;Lamine Yamal;3;4;2025;;
Alireza Jahanbakhsh;Lamine Yamal;3;4;2025;;
Jalal Hasan Hachim;Ousmane Dembélé;3;4;2025;;
Eliezer Dasa;Kylian Mbappé;3;4;2025;;
Gianluigi Donnarumma;Achraf Hakimi;3;2;2025;;
Wataru Endo;Ousmane Dembélé;3;4;2025;;
Ehsan Haddad;Raphinha;3;4;2025;;
Nuraly Alip;Achraf Hakimi;3;4;2025;;
Michael Olunga Ogada;Ousmane Dembélé;3;4;2025;;
Jang Kuk Chol;Harry Kane;3;4;2025;;
Heung Min Son;Harry Kane;3;4;2025;;
Amir Rrahmani;Kylian Mbappé;3;4;2025;;
Khaled Alrashidi;Kylian Mbappé;3;4;2025;;
Kichin Valerii;Achraf Hakimi;3;4;2025;;
Bounphachan Bounkong;Harry Kane;3;4;2025;;
Kristers Tobers;Lamine Yamal;3;4;2025;;
Mohamad Haidar;Lamine Yamal;3;4;2025;;
Sekhoane Benedict Moerane;  Achraf Hakimi ;3;4;2025;;
Murad Al-Wuheeshi;  Achraf Hakimi ;3;4;2025;;
Nicolas Hasler;Ousmane Dembélé;3;4;2025;;
Fedor Cernych; Mohamed Salah ;3;4;2025;;
Laurent Jans;Ousmane Dembélé;3;4;2025;;
Man Chan;Ousmane Dembélé;3;4;2025;;
Rayan Raveloson;  Lamine Yamal ;3;4;2025;;
Richard Mbulu;  Achraf Hakimi ;3;4;2025;;
Matthew Davies;  Cole Palmer ;3;4;2025;;
Samooh Ali;  Kylian Mbappé ;3;4;2025;;
Yves Bissouma;  Lamine Yamal ;3;4;2025;;
Matthew Guillaumier; Mohamed Salah ;3;4;2025;;
Aly Abeid;  Achraf Hakimi ;3;4;2025;;
Lindsay Rose;  Achraf Hakimi ;3;4;2025;;
Edson Omar Alvarez Velazquez;   Harry Kane ;3;4;2025;;
Rata Vadim;Ousmane Dembélé;3;4;2025;;
Tsendayush Khurelbaatar;  Cole Palmer ;3;4;2025;;
Stevan Jovetic;  Kylian Mbappé ;3;4;2025;;
Brandon Comley;  Lamine Yamal ;3;4;2025;;
Achraf Hakimi;Ousmane Dembélé;3;2;2025;;
Elias Pelembe;Ousmane Dembélé;3;4;2025;;
Mg Mg Lwin;   Raphinha ;3;4;2025;;
Riaan Hanamub;  Kylian Mbappé ;3;4;2025;;
Kiran Chemjong;    Vitinha ;3;4;2025;;
Virgil Van Dijk;Ousmane Dembélé;3;4;2025;;
Morgan Mathelon;   Raphinha ;3;4;2025;;
Chris Wood;  Lamine Yamal ;3;4;2025;;
Juan Barrera;  Kylian Mbappé ;3;4;2025;;
Youssouf Oumarou Aliou; Mohamed Salah ;3;4;2025;;
William Ekong;  Achraf Hakimi ;3;4;2025;;
Enis Bardhi;  Lamine Yamal ;3;4;2025;;
Conor Bradley; Mohamed Salah ;3;2;2025;;
Martin Odegaard;    Vitinha ;3;4;2025;;
Fayiz Alrushaidi;  Lamine Yamal ;3;4;2025;;
Abdullah Iqbal;Raphinha;3;4;2025;;
Musab Battat;Ousmane Dembélé;3;4;2025;;
Aníbal Godoy;Lamine Yamal;3;4;2025;;
Raymond Gunemba;Raphinha;3;4;2025;;
Gustavo Gomez;Lamine Yamal;3;4;2025;;
Pedro Gallese;Lamine Yamal;3;4;2025;;
Amani Aguinaldo;Mohamed Salah;3;4;2025;;
Robert Lewandowski;Raphinha;3;2;2025;;
Bernardo Silva;Nuno Mendes;3;1;2025;;
Leandro Antonetti;Pedri;3;4;2025;;
Hassan Alhaydos;Ousmane Dembélé;3;4;2025;;
Nathan Collins;Vitinha;3;4;2025;;
Ianis Hagi;Raphinha;3;4;2025;;
Aleksandr Golovin;Lamine Yamal;3;4;2025;;
Bizimana Djihad;Ousmane Dembélé;3;4;2025;;
Andrew Setefano;Kylian Mbappé;3;4;2025;;
Matteo Vitaioli;Achraf Hakimi;3;4;2025;;
Joel Neves;Nuno Mendes;3;4;2025;;
Salem Aldawsari;Cole Palmer;3;4;2025;;
Andrew Robertson;Ousmane Dembélé;3;4;2025;;
Kalidou Koulibaly;Achraf Hakimi;3;4;2025;;
Aleksandar Mitrovic;Kylian Mbappé;3;4;2025;;
Elie Nelson Jr Sopha;Ousmane Dembélé;3;4;2025;;
Mustapha Bundu;Nuno Mendes;3;4;2025;;
Hariss Harun;Lamine Yamal;3;4;2025;;
Milan Škriniar;Kylian Mbappé;3;4;2025;;
Jan Oblak;Raphinha;3;4;2025;;
Javin Alick;Cole Palmer;3;4;2025;;
Abdulsamed Abdullahi;Lamine Yamal;3;4;2025;;
Ronwen Williams;Lamine Yamal;3;4;2025;;
Atir Thomas Tom Magor;Lamine Yamal;3;4;2025;;
Unai Simon Mendibil;Pedri;3;1;2025;;
Sujan Perera;Mohamed Salah;3;4;2025;;
Julani Archibald;Vitinha;3;4;2025;;
Oalex Anderson;Kylian Mbappé;3;4;2025;;
Dion Malone;Lamine Yamal;3;4;2025;;
Victor Lindelof;Raphinha;3;4;2025;;
Granit Xhaka;Achraf Hakimi;3;4;2025;;
Omar Khrbin;Lamine Yamal;3;4;2025;;
Teaonui Tehau;Lamine Yamal;3;4;2025;;
Akhtam Nazarov;Harry Kane;3;4;2025;;
Mbwana Samatta;Kylian Mbappé;3;4;2025;;
Chanathip Songkrasin;Vitinha;3;4;2025;;
Gali Freitas;Vitinha;3;4;2025;;
Dakonam Ortega Djene;Pedri;3;4;2025;;
Hemaloto Polovili;Ousmane Dembélé;3;4;2025;;
Kevin Molino;Kylian Mbappé;3;4;2025;;
Ferjani Sassi;Kylian Mbappé;3;4;2025;;
Hakan Calhanoglu;Nuno Mendes;3;4;2025;;
Elman Tagayev;Ousmane Dembélé;3;4;2025;;
Makenson Cadet;Kylian Mbappé;3;4;2025;;
Aucho Khalid;Ousmane Dembélé;3;4;2025;;
Mykola Matviyenko;Ousmane Dembélé;3;4;2025;;
Khaseif Ali;Achraf Hakimi;3;4;2025;;
Jose Gimenez;Vitinha;3;4;2025;;
Joshua Ramos;Ousmane Dembélé;3;4;2025;;
Tim Ream;Kylian Mbappé;3;4;2025;;
Eldor Shomurodov;Ousmane Dembélé;3;4;2025;;
Michel Kalmalap Coulon;Achraf Hakimi;3;4;2025;;
Salomón Rondón;Pedri;3;4;2025;;
Manh Do;Kylian Mbappé;3;4;2025;;
Aaron Ramsey;Lamine Yamal;3;4;2025;;
Harwan Alzubaidi;Kylian Mbappé;3;4;2025;;
Lubambo Musonda;Achraf Hakimi;3;4;2025;;
Elias Ahmad Manouchehr;Pedri;3;4;2025;;
Sylvio Mendes Campos Júnior;Lamine Yamal;3;4;2025;;
Vladimir Petkovic;Kylian Mbappé;3;4;2025;;
Travis Sinapati;Kylian Mbappé;3;4;2025;;
Koldo Alvarez De Eulate;Vitinha;3;4;2025;;
Patrice Alain Marie Beaumelle;Ousmane Dembélé;3;4;2025;;
Cleo Hamm;Cole Palmer;3;4;2025;;
Lionel Scaloni;Pedri;3;4;2025;;
Melikian Iegishe;Ousmane Dembélé;3;4;2025;;
Marvic Bermudez;Ousmane Dembélé;3;4;2025;;
Tony Popovic;Raphinha;3;4;2025;;
Ralf Rangnick;Harry Kane;3;4;2025;;
Aykhan Abbasov;Kylian Mbappé;3;4;2025;;
Dragan Talajic;Ousmane Dembélé;3;4;2025;;
Javier Cabrera;Lamine Yamal;3;4;2025;;
Kent Edward Hall;Ousmane Dembélé;3;4;2025;;
Carlos Alos Ferrer;Vitinha;3;4;2025;;
Rudi Garcia;Kylian Mbappé;3;4;2025;;
Philip Elexious Marin;Lamine Yamal;3;4;2025;;
Gernot Rohr;Achraf Hakimi;3;4;2025;;
Michael Findlay;Lamine Yamal;3;4;2025;;
Atsushi Nakamura;Vitinha;3;4;2025;;
Oscar Villegas;Kylian Mbappé;3;4;2025;;
Sergej Barbarez;Ousmane Dembélé;3;4;2025;;
Morena Ramoreboli;Achraf Hakimi;3;4;2025;;
Carlo Ancelotti;Raphinha;3;1;2025;;
David Pérez Asensio;Ousmane Dembélé;3;4;2025;;
Fabio Joaquim Maciel Da Silva;Ousmane Dembélé;3;4;2025;;
Aleksandar Dimitrov;Pedri;3;4;2025;;
Brama Traoré;Achraf Hakimi;3;4;2025;;
Patrick Sangwa Mayani;Achraf Hakimi;3;4;2025;;
Pedro Leitão Brito;Mohamed Salah;3;4;2025;;
Koji Gyotoku;Ousmane Dembélé;3;4;2025;;
Martin Felix Ndtoungou Mpile;Ousmane Dembélé;3;4;2025;;
Jesse Marsch;Mohamed Salah;3;4;2025;;
Colin Rowe;Mohamed Salah;3;4;2025;;
Eloge Enza-Yamissi;Lamine Yamal;3;4;2025;;
Raoul Savoy;Pedri;3;4;2025;;
Nicolas Córdova;Vitinha;3;4;2025;;
Jiayi Shao;Mohamed Salah;3;4;2025;;
Matthew Barry Ross;Achraf Hakimi;3;4;2025;;
Néstor Lorenzo;Vitinha;3;4;2025;;
Stefano Cusin;Ousmane Dembélé;3;4;2025;;
Fabrizio Cesana;Raphinha;3;4;2025;;
Sébastien Desabre;Achraf Hakimi;3;4;2025;;
Tuka Tisam;Cole Palmer;3;4;2025;;
Miguel Herrera Aguirre;Kylian Mbappé;3;4;2025;;
Emerse Fae;Ousmane Dembélé;3;4;2025;;
Zlatko Dalić;Mohamed Salah;3;4;2025;;
Pedro Pablo Pereira Mesa;Ousmane Dembélé;3;4;2025;;
Dean Gorre;Achraf Hakimi;3;4;2025;;
Apostolos Mantzios;Lamine Yamal;3;4;2025;;
Jaroslav Köstl;Ousmane Dembélé;3;4;2025;;
Brian Riemer;Ousmane Dembélé;3;4;2025;;
Stéphane Nado;Ousmane Dembélé;3;4;2025;;
Ellington Sabin;Harry Kane;3;4;2025;;
Marcelo Neveleff;Lamine Yamal;3;4;2025;;
Sebastián Beccacece;Harry Kane;3;4;2025;;
Hossam Hassan;Ousmane Dembélé;3;4;2025;;
Hernán Gomez;Ousmane Dembélé;3;4;2025;;
Thomas Tuchel;Cole Palmer;3;1;2025;;
Juan Micha Obiang Bicogo;Achraf Hakimi;3;4;2025;;
Jürgen Henn;Lamine Yamal;3;4;2025;;
Sifiso Ntibane;Ousmane Dembélé;3;4;2025;;
Mesay Teferi Kassa;Ousmane Dembélé;3;4;2025;;
Eydun Klakstein;Harry Kane;3;4;2025;;
Stephane Auvray;Ousmane Dembélé;3;4;2025;;
Jacob Friis;Harry Kane;3;4;2025;;
Didier Deschamps;Kylian Mbappé;3;1;2025;;
Johnathan Mckinstry;Mohamed Salah;3;4;2025;;
Willy Sagnol;Vitinha;3;4;2025;;
Julian Nagelsmann;Ousmane Dembélé;3;4;2025;;
Nana Otto Addo;Lamine Yamal;3;4;2025;;
Scott Wiseman;Ousmane Dembélé;3;4;2025;;
Ivan Jovanovic;Kylian Mbappé;3;4;2025;;
Anthony Modeste;Vitinha;3;4;2025;;
Ross Michael Awa;Mohamed Salah;3;4;2025;;
Luis Fernando Tena Garduño;Vitinha;3;4;2025;;
Duarte Paulo;Vitinha;3;4;2025;;
Emiliano Te;Kylian Mbappé;3;4;2025;;
Thomas Dooley;Harry Kane;3;4;2025;;
Sébastien Migné;Lamine Yamal;3;4;2025;;
Reinaldo Rueda Rivera;Vitinha;3;4;2025;;
Ashley Westwood;Ousmane Dembélé;3;4;2025;;
Marco Rossi;Ousmane Dembélé;3;4;2025;;
Arnar Gunnlaugsson;Vitinha;3;4;2025;;
Khalid Jamil;Raphinha;3;4;2025;;
Nova Arianto;Harry Kane;3;4;2025;;
Ardeshir Ghalenoei;Kylian Mbappé;3;4;2025;;
Graham Arnold;Lamine Yamal;3;4;2025;;
Ran Ben Simon;Ousmane Dembélé;3;4;2025;;
Gennaro Gattuso;Vitinha;3;4;2025;;
Hajime Moriyasu;Lamine Yamal;3;4;2025;;
Jamal Sellami;Mohamed Salah;3;4;2025;;
Talgat Baisufinov;Raphinha;3;4;2025;;
Benni Mccarthy;Ousmane Dembélé;3;4;2025;;
Yun Jong Su;Kylian Mbappé;3;4;2025;;
Myung Bo Hong;Lamine Yamal;3;4;2025;;
Franco Foda;Lamine Yamal;3;4;2025;;
Hélio Filipe Dias De Sousa;Ousmane Dembélé;3;4;2025;;
Urmat Abdukaimov;Mohamed Salah;3;4;2025;;
Hyeokjun Ha;Lamine Yamal;3;4;2025;;
Paolo Nicolato;Vitinha;3;4;2025;;
Miodrag Radulovic;Kylian Mbappé;3;4;2025;;
Leslie Notsi;Achraf Hakimi;3;4;2025;;
Alejo Cissé;Achraf Hakimi;3;4;2025;;
Konrad Fünfstück;   Harry Kane ;3;4;2025;;
Edgaras Jankauskas;   Harry Kane ;3;4;2025;;
Jeff Strasser;  Lamine Yamal ;3;4;2025;;
Kenneth Kar Lok Kwok; Ousmane Dembélé;3;4;2025;;
Corentin Martins;  Kylian Mbappé ;3;4;2025;;
Kalisto Pasuwa; Ousmane Dembélé;3;4;2025;;
Peter Cklamovski; Mohamed Salah ;3;4;2025;;
Mohamed Siyaz;  Lamine Yamal ;3;4;2025;;
Tom Saintfiet; Mohamed Salah ;3;4;2025;;
Emilio De Leo; Mohamed Salah ;3;4;2025;;
Aritz López Garay;  Lamine Yamal ;3;4;2025;;
Guillaume Moullec;  Achraf Hakimi ;3;4;2025;;
Javier Aguirre Onaindia; Mohamed Salah ;3;4;2025;;
Lilian Popescu;   Raphinha ;3;4;2025;;
Garidmagnai Bayasgalan;  Achraf Hakimi ;3;4;2025;;
Mirko Vučinić; Ousmane Dembélé;3;4;2025;;
Angus Eve; Ousmane Dembélé;3;4;2025;;
Hoalid Regragui; Ousmane Dembélé;3;4;2025;;
Francisco Queriol Conde Junior;  Lamine Yamal ;3;4;2025;;
Myo Hlaing Win;  Kylian Mbappé ;3;4;2025;;
Collin Benjamin; Mohamed Salah ;3;4;2025;;
Hari Khadka;  Kylian Mbappé ;3;4;2025;;
Ronald Koeman;    Vitinha ;3;4;2025;;
Johan Sidaner; Ousmane Dembélé;3;4;2025;;
Darren Bazeley;  Lamine Yamal ;3;4;2025;;
Marco Figueroamontero;  Achraf Hakimi ;3;4;2025;;
Zakariaou Ibrahim;    Pedri ;3;4;2025;;
Blagoja Milevski;    Vitinha ;3;4;2025;;
Michael Oneill; Mohamed Salah ;3;4;2025;;
Ståle Solbakken;    Pedri ;3;4;2025;;
Carlos Queiroz; Ousmane Dembélé;3;4;2025;;
Nolberto Albino Solano Todco; Ousmane Dembélé;3;4;2025;;
Ehab Abu Jazar; Ousmane Dembélé;3;4;2025;;
Thomas Christiansen Tarin;Pedri;3;4;2025;;
David Muta;Cole Palmer;3;4;2025;;
Gustavo Alfaro;Vitinha;3;4;2025;;
Manuel Barreto;Harry Kane;3;4;2025;;
Carles Cuadrat;Pedri;3;4;2025;;
Jan Urban;Lamine Yamal;3;4;2025;;
Roberto Martinez;Vitinha;3;1;2025;;
Charlie Trout;Lamine Yamal;3;4;2025;;
Julen Lopetegui;Lamine Yamal;3;4;2025;;
Heimir Hallgrimsson;Lamine Yamal;3;4;2025;;
Mircea Lucescu;Raphinha;3;4;2025;;
Valeri Karpin;Kylian Mbappé;3;4;2025;;
Adel Amrouche;Kylian Mbappé;3;4;2025;;
Valerio Raccuglia;Ousmane Dembélé;3;4;2025;;
Roberto Cevoli;Ousmane Dembélé;3;4;2025;;
Ricardo Monsanto;Nuno Mendes;3;4;2025;;
Hervé Renard;Kylian Mbappé;3;4;2025;;
Steve Clarke;Vitinha;3;4;2025;;
Pape Bouna Thiaw;Achraf Hakimi;3;4;2025;;
Veljko Paunovic;Pedri;3;4;2025;;
Ralph Jean-Louis;Kylian Mbappé;3;4;2025;;
Mohamed Kallon;Lamine Yamal;3;4;2025;;
Gavin Lee;Vitinha;3;4;2025;;
Francesco Calzona;Pedri;3;4;2025;;
Kek Matjaz;Lamine Yamal;3;4;2025;;
Josh Smith;Ousmane Dembélé;3;4;2025;;
